=== v11eval gen rows 1623-3245 (1623 clips) ===
[gen] fold5_room5_mix0094 static tier=na siren noise=61.6dBA peak=0.010 (2s)
[gen] fold5_room5_mix0095 static tier=na siren noise=61.9dBA peak=0.011 (3s)
[gen] fold5_room5_mix0096 static tier=na siren noise=64.3dBA peak=0.022 (2s)
[gen] fold5_room5_mix0097 static tier=na siren noise=62.0dBA peak=0.098 (3s)
[gen] fold5_room5_mix0098 static tier=na siren noise=61.3dBA peak=0.028 (2s)
[1623-3245] 75/1623 196s elapsed, 2.62s/clip
[gen] fold5_room5_mix0099 static tier=na siren noise=62.3dBA peak=0.006 (2s)
[gen] fold5_room5_mix0100 static tier=na siren noise=60.9dBA peak=0.016 (3s)
[gen] fold5_room5_mix0101 walk tier=na siren noise=60.0dBA peak=0.027 (2s)
[gen] fold5_room5_mix0102 walk tier=na siren noise=64.4dBA peak=0.039 (3s)
[gen] fold5_room5_mix0103 walk tier=na siren noise=60.9dBA peak=0.035 (3s)
[gen] fold5_room5_mix0104 walk tier=na siren noise=61.4dBA peak=0.005 (3s)
[gen] fold5_room5_mix0105 walk tier=na siren noise=61.9dBA peak=0.053 (2s)
[gen] fold5_room5_mix0106 walk tier=na siren noise=64.9dBA peak=0.097 (3s)
[gen] fold5_room5_mix0107 walk tier=na siren noise=62.9dBA peak=0.091 (3s)
[gen] fold5_room5_mix0108 walk tier=na siren noise=62.5dBA peak=0.010 (2s)
[gen] fold5_room5_mix0109 walk tier=na siren noise=64.0dBA peak=0.043 (3s)
[gen] fold5_room5_mix0110 walk tier=na siren noise=64.0dBA peak=0.035 (2s)
[gen] fold5_room5_mix0111 walk tier=na siren noise=61.5dBA peak=0.009 (3s)
[gen] fold5_room5_mix0112 walk tier=na siren noise=63.4dBA peak=0.016 (2s)
[gen] fold5_room5_mix0113 walk tier=na siren noise=63.3dBA peak=0.012 (3s)
[gen] fold5_room5_mix0114 walk tier=na siren noise=63.1dBA peak=0.047 (2s)
[gen] fold5_room5_mix0115 walk tier=na siren noise=64.9dBA peak=0.022 (2s)
[gen] fold5_room5_mix0116 walk tier=na siren noise=60.0dBA peak=0.063 (4s)
[gen] fold5_room5_mix0117 walk tier=na siren noise=60.3dBA peak=0.013 (3s)
[gen] fold5_room5_mix0118 walk tier=na siren noise=61.8dBA peak=0.014 (3s)
[gen] fold5_room5_mix0119 walk tier=na siren noise=62.2dBA peak=0.019 (2s)
[gen] fold5_room5_mix0120 walk tier=na siren noise=64.6dBA peak=0.038 (3s)
[gen] fold5_room5_mix0121 walk tier=na siren noise=60.7dBA peak=0.012 (2s)
[gen] fold5_room5_mix0122 walk tier=na siren noise=60.9dBA peak=0.012 (3s)
[gen] fold5_room5_mix0123 walk tier=na siren noise=64.0dBA peak=0.012 (3s)
[1623-3245] 100/1623 265s elapsed, 2.65s/clip
[gen] fold5_room5_mix0124 walk tier=na siren noise=63.1dBA peak=0.059 (3s)
[gen] fold5_room5_mix0125 walk tier=na siren noise=61.8dBA peak=0.006 (2s)
[gen] fold5_room5_mix0126 walk tier=na siren noise=64.3dBA peak=0.171 (3s)
[gen] fold5_room5_mix0127 walk tier=na siren noise=62.4dBA peak=0.006 (3s)
[gen] fold5_room5_mix0128 walk tier=na siren noise=62.9dBA peak=0.011 (3s)
[gen] fold5_room5_mix0129 walk tier=na siren noise=60.1dBA peak=0.023 (3s)
[gen] fold5_room5_mix0130 walk tier=na siren noise=63.8dBA peak=0.024 (3s)
[gen] fold5_room5_mix0131 walk tier=na siren noise=63.8dBA peak=0.016 (3s)
[gen] fold5_room5_mix0132 walk tier=na siren noise=60.3dBA peak=0.103 (2s)
[gen] fold5_room5_mix0133 walk tier=na siren noise=63.8dBA peak=0.078 (3s)
[gen] fold5_room5_mix0134 walk tier=na siren noise=64.6dBA peak=0.125 (2s)
[gen] fold5_room5_mix0135 walk tier=na siren noise=63.8dBA peak=0.059 (3s)
[gen] fold5_room5_mix0136 walk tier=na siren noise=60.0dBA peak=0.153 (2s)
[gen] fold5_room5_mix0137 walk tier=na siren noise=63.9dBA peak=0.019 (3s)
[gen] fold5_room5_mix0138 walk tier=na siren noise=60.5dBA peak=0.018 (3s)
[gen] fold5_room5_mix0139 walk tier=na siren noise=63.3dBA peak=0.012 (2s)
[gen] fold5_room5_mix0140 walk tier=na siren noise=64.2dBA peak=0.086 (3s)
[gen] fold5_room5_mix0141 walk tier=na siren noise=63.6dBA peak=0.046 (3s)
[gen] fold5_room5_mix0142 walk tier=na siren noise=63.2dBA peak=0.007 (3s)
[gen] fold5_room5_mix0143 walk tier=na siren noise=62.1dBA peak=0.008 (2s)
[gen] fold5_room5_mix0144 walk tier=na siren noise=63.7dBA peak=0.054 (3s)
[gen] fold5_room5_mix0145 walk tier=na siren noise=63.3dBA peak=0.018 (3s)
[gen] fold5_room5_mix0146 walk tier=na siren noise=64.5dBA peak=0.015 (3s)
[gen] fold5_room5_mix0147 walk tier=na siren noise=64.6dBA peak=0.031 (3s)
[gen] fold5_room5_mix0148 walk tier=na siren noise=64.4dBA peak=0.009 (3s)
[1623-3245] 125/1623 334s elapsed, 2.67s/clip
[gen] fold5_room5_mix0149 walk tier=na siren noise=60.2dBA peak=0.012 (3s)
[gen] fold5_room5_mix0150 walk tier=na siren noise=64.7dBA peak=0.012 (3s)
[gen] fold5_room5_mix0151 walk tier=na siren noise=60.7dBA peak=0.093 (3s)
[gen] fold5_room5_mix0152 walk tier=na siren noise=61.0dBA peak=0.117 (2s)
[gen] fold5_room5_mix0153 walk tier=na siren noise=63.0dBA peak=0.007 (3s)
[gen] fold5_room5_mix0154 walk tier=na siren noise=63.1dBA peak=0.082 (3s)
[gen] fold5_room5_mix0155 walk tier=na siren noise=63.7dBA peak=0.142 (3s)
[gen] fold5_room5_mix0156 walk tier=na siren noise=64.8dBA peak=0.016 (2s)
[gen] fold5_room5_mix0157 walk tier=na siren noise=62.7dBA peak=0.071 (3s)
[gen] fold5_room5_mix0158 walk tier=na siren noise=62.1dBA peak=0.044 (2s)
[gen] fold5_room5_mix0159 walk tier=na siren noise=61.1dBA peak=0.010 (3s)
[gen] fold5_room5_mix0160 walk tier=na siren noise=62.0dBA peak=0.154 (3s)
[gen] fold5_room5_mix0161 walk tier=na siren noise=61.3dBA peak=0.087 (3s)
[gen] fold5_room5_mix0162 walk tier=na siren noise=64.3dBA peak=0.010 (3s)
[gen] fold5_room5_mix0163 walk tier=na siren noise=62.9dBA peak=0.069 (2s)
[gen] fold5_room5_mix0164 walk tier=na siren noise=63.1dBA peak=0.050 (3s)
[gen] fold5_room5_mix0165 walk tier=na siren noise=64.1dBA peak=0.017 (2s)
[gen] fold5_room5_mix0166 walk tier=na siren noise=60.3dBA peak=0.183 (3s)
[gen] fold5_room5_mix0167 walk tier=na siren noise=62.1dBA peak=0.008 (2s)
[gen] fold5_room5_mix0168 walk tier=na siren noise=62.1dBA peak=0.007 (3s)
[gen] fold5_room5_mix0169 walk tier=na siren noise=61.7dBA peak=0.029 (2s)
[gen] fold5_room5_mix0170 walk tier=na siren noise=63.7dBA peak=0.008 (2s)
[gen] fold5_room5_mix0171 walk tier=na siren noise=64.3dBA peak=0.006 (3s)
[gen] fold5_room5_mix0172 walk tier=na siren noise=64.2dBA peak=0.024 (2s)
[gen] fold5_room5_mix0173 walk tier=na siren noise=61.1dBA peak=0.013 (3s)
[1623-3245] 150/1623 403s elapsed, 2.69s/clip
[gen] fold5_room5_mix0174 walk tier=na siren noise=62.5dBA peak=0.009 (2s)
[gen] fold5_room5_mix0175 walk tier=na siren noise=61.6dBA peak=0.008 (3s)
[gen] fold5_room5_mix0176 walk tier=na siren noise=64.9dBA peak=0.012 (2s)
[gen] fold5_room5_mix0177 walk tier=na siren noise=61.3dBA peak=0.046 (3s)
[gen] fold5_room5_mix0178 walk tier=na siren noise=63.0dBA peak=0.026 (3s)
[gen] fold5_room5_mix0179 walk tier=na siren noise=63.0dBA peak=0.196 (3s)
[gen] fold5_room5_mix0180 walk tier=na siren noise=61.6dBA peak=0.022 (4s)
[gen] fold5_room5_mix0181 walk tier=na siren noise=61.8dBA peak=0.053 (6s)
[gen] fold5_room5_mix0182 walk tier=na siren noise=62.0dBA peak=0.031 (4s)
[gen] fold5_room5_mix0183 walk tier=na siren noise=60.7dBA peak=0.114 (4s)
[gen] fold5_room5_mix0184 walk tier=na siren noise=63.4dBA peak=0.030 (3s)
[gen] fold5_room5_mix0185 walk tier=na siren noise=62.8dBA peak=0.086 (3s)
[gen] fold5_room5_mix0186 walk tier=na siren noise=64.9dBA peak=0.015 (2s)
[gen] fold5_room5_mix0187 walk tier=na siren noise=61.0dBA peak=0.007 (3s)
[gen] fold5_room5_mix0188 walk tier=na siren noise=64.2dBA peak=0.028 (2s)
[gen] fold5_room5_mix0189 walk tier=na siren noise=61.3dBA peak=0.029 (3s)
[gen] fold5_room5_mix0190 walk tier=na siren noise=64.7dBA peak=0.030 (3s)
[gen] fold5_room5_mix0191 walk tier=na siren noise=60.3dBA peak=0.008 (2s)
[gen] fold5_room5_mix0192 walk tier=na siren noise=64.2dBA peak=0.079 (3s)
[gen] fold5_room5_mix0193 walk tier=na siren noise=62.2dBA peak=0.015 (3s)
[gen] fold5_room5_mix0194 walk tier=na siren noise=63.3dBA peak=0.094 (3s)
[gen] fold5_room5_mix0195 walk tier=na siren noise=62.8dBA peak=0.120 (3s)
[gen] fold5_room5_mix0196 walk tier=na siren noise=64.3dBA peak=0.051 (3s)
[gen] fold5_room5_mix0197 walk tier=na siren noise=64.0dBA peak=0.009 (2s)
[gen] fold5_room5_mix0198 walk tier=na siren noise=63.9dBA peak=0.020 (3s)
[1623-3245] 175/1623 478s elapsed, 2.73s/clip
[gen] fold5_room5_mix0199 walk tier=na siren noise=63.8dBA peak=0.025 (2s)
[gen] fold5_room5_mix0200 walk tier=na siren noise=62.5dBA peak=0.172 (3s)
[gen] fold5_room9_mix0001 walk tier=na siren noise=58.0dBA peak=0.039 (2s)
[gen] fold5_room9_mix0002 walk tier=na siren noise=64.7dBA peak=0.107 (3s)
[gen] fold5_room9_mix0003 walk tier=na siren noise=59.0dBA peak=0.129 (3s)
[gen] fold5_room9_mix0004 walk tier=na siren noise=60.6dBA peak=0.036 (2s)
[gen] fold5_room9_mix0005 walk tier=na siren noise=44.4dBA peak=0.740 (3s)
[gen] fold5_room9_mix0006 walk tier=na siren noise=59.9dBA peak=0.435 (2s)
[gen] fold5_room9_mix0007 walk tier=na siren noise=59.3dBA peak=0.025 (3s)
[gen] fold5_room9_mix0008 walk tier=na siren noise=41.2dBA peak=0.111 (3s)
[gen] fold5_room9_mix0009 walk tier=na siren noise=57.2dBA peak=0.219 (3s)
[gen] fold5_room9_mix0010 walk tier=na siren noise=58.7dBA peak=0.109 (2s)
[gen] fold5_room9_mix0011 walk tier=na siren noise=47.4dBA peak=0.232 (3s)
[gen] fold5_room9_mix0012 walk tier=na siren noise=46.8dBA peak=0.258 (2s)
[gen] fold5_room9_mix0013 walk tier=na siren noise=65.0dBA peak=0.451 (2s)
[gen] fold5_room9_mix0014 walk tier=na siren noise=62.0dBA peak=0.050 (3s)
[gen] fold5_room9_mix0015 walk tier=na siren noise=43.1dBA peak=0.216 (3s)
[gen] fold5_room9_mix0016 walk tier=na siren noise=50.8dBA peak=0.064 (3s)
[gen] fold5_room9_mix0017 walk tier=na siren noise=41.3dBA peak=0.093 (3s)
[gen] fold5_room9_mix0018 walk tier=na siren noise=49.5dBA peak=0.098 (3s)
[gen] fold5_room9_mix0019 walk tier=na siren noise=57.5dBA peak=0.066 (2s)
[gen] fold5_room9_mix0020 walk tier=na siren noise=56.7dBA peak=0.259 (3s)
[gen] fold5_room9_mix0021 walk tier=na siren noise=40.8dBA peak=0.076 (2s)
[gen] fold5_room9_mix0022 walk tier=na siren noise=57.1dBA peak=0.025 (3s)
[gen] fold5_room9_mix0023 walk tier=na siren noise=54.4dBA peak=0.074 (3s)
[1623-3245] 200/1623 547s elapsed, 2.74s/clip
[gen] fold5_room9_mix0024 walk tier=na siren noise=51.8dBA peak=0.133 (2s)
[gen] fold5_room9_mix0025 walk tier=na siren noise=51.5dBA peak=0.078 (3s)
[gen] fold5_room9_mix0026 walk tier=na siren noise=43.3dBA peak=0.080 (2s)
[gen] fold5_room9_mix0027 walk tier=na siren noise=49.5dBA peak=0.446 (3s)
[gen] fold5_room9_mix0028 walk tier=na siren noise=51.7dBA peak=0.186 (2s)
