=== v10_2ctrl gen rows 75-843 (769 clips) ===
[gen] fold1_room3_mix143 static tier=caution car_drive noise=46.8dBA peak=0.003 (3s)
[gen] fold1_room3_mix144 walk tier=safe car_drive noise=60.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix145 static tier=critical car_drive noise=40.8dBA peak=0.005 (3s)
[gen] fold1_room3_mix146 walk tier=caution car_drive noise=59.5dBA peak=0.002 (3s)
[gen] fold1_room3_mix147 static tier=safe car_drive noise=51.8dBA peak=0.000 (2s)
[gen] fold1_room3_mix148 walk tier=critical car_drive noise=49.8dBA peak=0.004 (3s)
[gen] fold1_room3_mix149 static tier=caution car_drive noise=65.0dBA peak=0.004 (3s)
[gen] fold1_room3_mix150 walk tier=safe car_drive noise=53.4dBA peak=0.001 (3s)
[75-843] 75/769 251s elapsed, 3.35s/clip
[gen] fold1_room3_mix151 static tier=critical car_drive noise=61.2dBA peak=0.003 (2s)
[gen] fold1_room3_mix152 walk tier=caution car_drive noise=43.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix153 static tier=safe car_drive noise=42.2dBA peak=0.000 (2s)
[gen] fold1_room3_mix154 walk tier=critical car_drive noise=52.2dBA peak=0.005 (3s)
[gen] fold1_room3_mix155 static tier=caution car_drive noise=61.7dBA peak=0.002 (2s)
[gen] fold1_room3_mix156 walk tier=safe car_drive noise=56.2dBA peak=0.001 (2s)
[gen] fold1_room3_mix157 static tier=critical car_drive noise=40.6dBA peak=0.004 (2s)
[gen] fold1_room3_mix158 walk tier=caution car_drive noise=59.2dBA peak=0.003 (2s)
[gen] fold1_room3_mix159 static tier=safe car_drive noise=41.2dBA peak=0.001 (2s)
[gen] fold1_room3_mix160 walk tier=critical car_drive noise=59.9dBA peak=0.004 (2s)
[gen] fold1_room3_mix161 static tier=caution car_drive noise=56.2dBA peak=0.002 (2s)
[gen] fold1_room3_mix162 walk tier=safe car_drive noise=56.5dBA peak=0.001 (2s)
[gen] fold1_room3_mix163 static tier=critical car_drive noise=45.4dBA peak=0.007 (2s)
[gen] fold1_room3_mix164 walk tier=caution car_drive noise=56.6dBA peak=0.003 (2s)
[gen] fold1_room3_mix165 static tier=safe car_drive noise=51.2dBA peak=0.000 (2s)
[gen] fold1_room3_mix166 walk tier=critical car_drive noise=62.4dBA peak=0.004 (2s)
[gen] fold1_room3_mix167 static tier=caution car_drive noise=64.3dBA peak=0.002 (2s)
[gen] fold1_room3_mix168 walk tier=safe car_drive noise=59.7dBA peak=0.000 (4s)
[gen] fold1_room3_mix169 static tier=critical car_drive noise=51.4dBA peak=0.003 (3s)
[gen] fold1_room3_mix170 walk tier=caution car_drive noise=42.7dBA peak=0.002 (3s)
[gen] fold1_room3_mix171 static tier=safe car_drive noise=59.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix172 walk tier=critical car_drive noise=48.0dBA peak=0.003 (3s)
[gen] fold1_room3_mix173 static tier=caution car_drive noise=45.3dBA peak=0.003 (2s)
[gen] fold1_room3_mix174 walk tier=safe car_drive noise=62.7dBA peak=0.001 (2s)
[gen] fold1_room3_mix175 static tier=critical car_drive noise=56.1dBA peak=0.007 (2s)
[75-843] 100/769 315s elapsed, 3.15s/clip
[gen] fold1_room3_mix176 walk tier=caution car_drive noise=47.2dBA peak=0.003 (3s)
[gen] fold1_room3_mix177 static tier=safe car_drive noise=49.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix178 walk tier=critical car_drive noise=59.3dBA peak=0.003 (3s)
[gen] fold1_room3_mix179 static tier=caution car_drive noise=44.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix180 walk tier=safe car_drive noise=50.2dBA peak=0.001 (3s)
[gen] fold1_room3_mix181 static tier=critical car_drive noise=54.5dBA peak=0.004 (2s)
[gen] fold1_room3_mix182 walk tier=caution car_drive noise=50.6dBA peak=0.002 (3s)
[gen] fold1_room3_mix183 static tier=safe car_drive noise=62.2dBA peak=0.001 (2s)
[gen] fold1_room3_mix184 walk tier=critical car_drive noise=42.2dBA peak=0.004 (2s)
[gen] fold1_room3_mix185 static tier=caution car_drive noise=63.7dBA peak=0.004 (2s)
[gen] fold1_room3_mix186 walk tier=safe car_drive noise=40.5dBA peak=0.001 (2s)
[gen] fold1_room3_mix187 static tier=critical car_drive noise=61.9dBA peak=0.006 (2s)
[gen] fold1_room3_mix188 walk tier=caution car_drive noise=59.3dBA peak=0.002 (3s)
[gen] fold1_room3_mix189 static tier=safe car_drive noise=60.0dBA peak=0.001 (2s)
[gen] fold1_room3_mix190 walk tier=critical car_drive noise=64.1dBA peak=0.006 (3s)
[gen] fold1_room3_mix191 static tier=caution car_drive noise=53.9dBA peak=0.002 (2s)
[gen] fold1_room3_mix192 walk tier=safe car_drive noise=63.0dBA peak=0.001 (2s)
[gen] fold1_room3_mix193 static tier=critical car_drive noise=50.0dBA peak=0.006 (2s)
[gen] fold1_room3_mix194 walk tier=caution car_drive noise=42.1dBA peak=0.001 (2s)
[gen] fold1_room3_mix195 static tier=safe car_drive noise=57.0dBA peak=0.000 (2s)
[gen] fold1_room3_mix196 walk tier=critical car_drive noise=64.0dBA peak=0.004 (3s)
[gen] fold1_room3_mix197 static tier=caution car_drive noise=55.9dBA peak=0.002 (2s)
[gen] fold1_room3_mix198 walk tier=safe car_drive noise=44.2dBA peak=0.001 (2s)
[gen] fold1_room3_mix199 static tier=critical car_drive noise=61.4dBA peak=0.005 (2s)
[gen] fold1_room3_mix200 walk tier=caution car_drive noise=47.1dBA peak=0.002 (2s)
[75-843] 125/769 378s elapsed, 3.03s/clip
