set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix075,critical,normal,walk,3,0,5.35,6.25
val,fold2_room1_mix076,caution,normal,walk,2,0,6.53,7.430000000000001
val,fold2_room1_mix077,critical,normal,walk,5,0,4.28,5.18
val,fold2_room1_mix078,safe,normal,walk,5,0,,
val,fold2_room1_mix079,caution,normal,walk,6,0,2.13,3.13
val,fold2_room1_mix080,caution,normal,walk,3,0,5.15,6.15
val,fold2_room1_mix081,safe,normal,walk,2,0,6.950000000000001,7.8500000000000005
val,fold2_room1_mix082,safe,normal,static,2,0,1.54,2.24
val,fold2_room1_mix083,caution,normal,walk,1,0,5.42,6.42
val,fold2_room1_mix084,caution,normal,walk,4,0,5.66,6.56
val,fold2_room1_mix085,critical,normal,walk,2,0,7.76,8.66
val,fold2_room1_mix086,critical,normal,walk,4,0,6.21,6.91
val,fold2_room1_mix087,caution,normal,walk,5,0,2.17,2.8699999999999997
val,fold2_room1_mix088,critical,normal,walk,1,0,3.4400000000000004,4.34
val,fold2_room1_mix089,critical,normal,walk,4,0,,1.5699999999999994
val,fold2_room1_mix090,caution,normal,static,1,0,5.76,6.76
val,fold2_room1_mix091,critical,normal,walk,2,0,2.1100000000000003,3.01
val,fold2_room1_mix092,safe,normal,static,5,0,2.24,3.14
val,fold2_room1_mix093,critical,normal,walk,3,0,4.360000000000001,5.0600000000000005
val,fold2_room1_mix094,safe,normal,static,7,0,5.55,6.55
val,fold2_room1_mix095,safe,normal,static,4,0,7.200000000000001,8.100000000000001
val,fold2_room1_mix096,critical,normal,static,5,0,2.4800000000000004,2.98
val,fold2_room1_mix097,caution,normal,static,3,0,,1.660000000000001
val,fold2_room1_mix098,safe,normal,walk,5,0,7.630000000000001,8.63
val,fold2_room1_mix099,caution,normal,walk,6,0,6.91,7.51
val,fold2_room1_mix100,safe,normal,walk,1,0,5.6899999999999995,6.59
val,fold2_room1_mix101,caution,normal,static,3,0,3.3900000000000006,6.19
val,fold2_room1_mix102,safe,normal,static,1,0,,0.7999999999999989
val,fold2_room1_mix103,critical,normal,static,5,0,1.4299999999999997,2.33
val,fold2_room1_mix104,safe,normal,walk,1,0,5.08,5.98
val,fold2_room1_mix105,caution,normal,walk,3,0,6.66,7.5600000000000005
val,fold2_room1_mix106,caution,normal,walk,1,0,2.91,3.6100000000000003
val,fold2_room1_mix107,caution,normal,walk,5,0,6.73,7.63
val,fold2_room1_mix108,critical,normal,static,5,0,3.82,4.92
val,fold2_room1_mix109,safe,normal,walk,2,0,7.0,8.0
val,fold2_room1_mix110,safe,normal,walk,0,0,,
val,fold2_room1_mix111,caution,normal,static,4,0,7.09,7.99
val,fold2_room1_mix112,safe,normal,walk,1,0,1.8599999999999994,2.5599999999999996
val,fold2_room1_mix113,critical,normal,walk,3,0,4.75,5.550000000000001
val,fold2_room1_mix114,caution,normal,walk,2,0,6.4,7.300000000000001
val,fold2_room1_mix115,safe,normal,walk,2,0,1.4100000000000001,2.41
val,fold2_room1_mix116,safe,normal,walk,2,0,4.5600000000000005,5.5600000000000005
val,fold2_room1_mix117,safe,normal,walk,5,0,5.859999999999999,6.76
val,fold2_room1_mix118,critical,normal,static,4,0,7.48,8.38
val,fold2_room1_mix119,safe,normal,static,0,0,,2.8599999999999994
val,fold2_room1_mix120,caution,normal,static,1,0,3.7600000000000002,4.86
val,fold2_room1_mix121,caution,normal,walk,3,0,2.24,3.04
val,fold2_room1_mix122,safe,normal,static,4,0,2.2200000000000006,3.3200000000000003
val,fold2_room1_mix123,caution,normal,static,1,0,1.67,2.67
val,fold2_room1_mix124,critical,normal,walk,5,0,6.59,7.59
val,fold2_room1_mix125,safe,normal,static,5,0,6.33,7.33
val,fold2_room1_mix126,safe,normal,static,5,0,7.49,8.39
