t_s,obj,class,az_deg,dist_m,vis
7.7,1,car,38.8,5.38,1
7.8,1,car,35.9,4.73,1
7.9,1,car,32.1,4.10,1
8.0,1,car,27.0,3.50,1
8.1,1,car,20.6,2.93,1
8.2,1,car,25.2,2.29,1
8.3,1,car,35.1,1.68,1
8.4,1,car,54.5,1.19,1
8.5,1,car,90.2,0.97,1
8.6,1,car,125.8,1.20,1
8.7,1,car,145.3,1.70,1
8.8,1,car,155.3,2.31,1
8.9,1,car,161.1,2.95,1
9.0,1,car,164.8,3.62,1
9.1,1,car,167.3,4.29,1
9.2,1,car,169.2,4.97,1
9.3,1,car,170.6,5.65,1
9.4,1,car,171.7,6.34,1
9.5,1,car,172.6,7.02,1
9.6,1,car,173.5,7.71,1
9.7,1,car,174.2,8.40,1
9.8,1,car,174.8,9.08,1
9.9,1,car,175.3,9.77,1
