t_s,obj,class,az_deg,dist_m,vis
7.9,1,car,-22.5,12.08,1
8.0,1,car,-27.8,12.65,1
8.1,1,car,-32.6,13.31,1
8.2,1,car,-36.9,14.06,1
8.3,1,car,-40.7,14.87,1
8.4,1,car,-44.2,15.73,1
8.5,1,car,-47.3,16.65,1
8.6,1,car,-50.0,17.61,1
8.7,1,car,-52.5,18.60,1
8.8,1,car,-54.7,19.62,1
8.9,1,car,-56.7,20.67,1
9.0,1,car,-58.5,21.74,1
9.1,1,car,-60.2,22.83,1
9.2,1,car,-61.7,23.93,1
9.3,1,car,-63.0,25.04,1
9.4,1,car,-64.3,26.17,1
9.5,1,car,-65.4,27.31,1
9.6,1,car,-66.5,28.46,1
9.7,1,car,-67.4,29.62,1
9.8,1,car,-68.3,30.78,1
9.9,1,car,-69.1,31.95,1
