type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
road,49.3,47.8,56.6,51.2,5.5,unclassified,
road,-2.2,-4.0,-11.3,-4.1,5.5,unclassified,
road,-11.3,-4.1,-17.1,-4.3,5.5,unclassified,
road,-17.1,-4.3,-67.7,-6.5,5.5,unclassified,
road,-67.7,-6.5,-116.5,-8.4,5.5,unclassified,
road,-116.5,-8.4,-165.4,-10.3,5.5,unclassified,
road,-165.4,-10.3,-195.4,-11.5,5.5,unclassified,
road,-195.4,-11.5,-210.1,-12.0,5.5,unclassified,
road,-210.1,-12.0,-271.1,-14.3,5.5,unclassified,
road,-271.1,-14.3,-305.7,-15.7,5.5,unclassified,
road,-305.7,-15.7,-343.6,-16.4,5.5,unclassified,
road,-116.5,-8.4,-116.3,-13.5,3.5,service,
road,-116.3,-13.5,-116.2,-18.5,3.5,service,
road,-116.2,-18.5,-114.7,-56.5,3.5,service,
road,-114.7,-56.5,-114.4,-64.4,3.5,service,
road,-114.4,-64.4,-114.1,-74.0,3.5,service,
road,-114.1,-74.0,-114.0,-77.1,3.5,service,
road,-114.0,-77.1,-111.9,-139.3,3.5,service,
bldg,37.8,15.2,37.2,25.3,60.9,3.2,第三食堂
bldg,-91.3,28.1,49.2,24.2,-178.6,12.8,1号館
bldg,-83.0,-78.1,101.7,24.7,91.8,12.8,2号館
bldg,-158.6,-40.9,84.2,24.5,-178.7,12.8,4号館
bldg,-161.4,19.6,70.4,41.0,169.3,9.6,カナル会館
road,106.1,21.3,109.8,23.6,5.0,residential,
road,109.8,23.6,117.3,28.4,5.0,residential,
road,117.3,28.4,138.7,39.4,5.0,residential,
road,138.7,39.4,147.9,43.7,5.0,residential,
road,147.9,43.7,221.7,64.8,5.0,residential,
road,221.7,64.8,268.4,77.6,5.0,residential,
rail,1243.2,-1433.5,1226.6,-1412.9,,東武野田線,
rail,1226.6,-1412.9,1044.9,-1188.7,,東武野田線,
rail,1044.9,-1188.7,1010.8,-1146.1,,東武野田線,
rail,1010.8,-1146.1,969.5,-1095.0,,東武野田線,
rail,969.5,-1095.0,943.6,-1063.5,,東武野田線,
rail,943.6,-1063.5,773.3,-852.2,,東武野田線,
rail,773.3,-852.2,635.7,-681.0,,東武野田線,
rail,635.7,-681.0,536.6,-558.8,,東武野田線,
rail,536.6,-558.8,413.7,-407.8,,東武野田線,
rail,413.7,-407.8,300.1,-265.9,,東武野田線,
rail,300.1,-265.9,197.4,-139.1,,東武野田線,
rail,197.4,-139.1,127.5,-52.8,,東武野田線,
rail,127.5,-52.8,112.6,-34.1,,東武野田線,
rail,112.6,-34.1,95.0,-10.6,,東武野田線,
rail,95.0,-10.6,82.8,7.5,,東武野田線,
rail,82.8,7.5,73.5,23.0,,東武野田線,
rail,73.5,23.0,64.0,42.6,,東武野田線,
rail,64.0,42.6,57.0,58.7,,東武野田線,
rail,57.0,58.7,50.3,79.6,,東武野田線,
rail,50.3,79.6,45.7,95.7,,東武野田線,
road,-0.2,-0.7,8.1,0.5,5.0,residential,
road,8.1,0.5,67.4,9.1,5.0,residential,
road,67.4,9.1,75.2,-5.0,5.0,residential,
road,75.2,-5.0,82.7,-17.9,5.0,residential,
road,82.7,-17.9,105.6,-48.0,5.0,residential,
road,105.6,-48.0,127.0,-71.2,5.0,residential,
road,127.0,-71.2,146.7,-94.7,5.0,residential,
road,146.7,-94.7,164.9,-116.9,5.0,residential,
road,164.9,-116.9,213.5,-176.4,5.0,residential,
road,213.5,-176.4,185.8,-261.1,5.0,residential,
road,-0.2,-0.7,3.6,3.8,5.5,unclassified,
road,3.6,3.8,16.3,18.7,5.5,unclassified,
road,16.3,18.7,23.9,26.7,5.5,unclassified,
rail,45.7,95.7,43.0,106.4,,東武野田線,
rail,43.0,106.4,41.2,115.3,,東武野田線,
rail,41.2,115.3,39.3,126.8,,東武野田線,
rail,39.3,126.8,36.4,147.0,,東武野田線,
rail,36.4,147.0,34.7,163.9,,東武野田線,
rail,34.7,163.9,32.0,190.5,,東武野田線,
road,-1309.8,-34.2,-1297.3,-39.4,2.0,cycleway,
road,-1297.3,-39.4,-1268.6,-51.5,2.0,cycleway,
road,-1268.6,-51.5,-1243.8,-60.5,2.0,cycleway,
road,-1243.8,-60.5,-1220.9,-68.8,2.0,cycleway,
road,-1220.9,-68.8,-1172.7,-80.1,2.0,cycleway,
road,-1172.7,-80.1,-1163.2,-81.2,2.0,cycleway,
road,-1163.2,-81.2,-1111.8,-87.2,2.0,cycleway,
road,-1111.8,-87.2,-1074.6,-87.4,2.0,cycleway,
road,-1074.6,-87.4,-1064.9,-87.4,2.0,cycleway,
road,-1064.9,-87.4,-1018.2,-82.2,2.0,cycleway,
road,-1018.2,-82.2,-972.0,-69.7,2.0,cycleway,
road,-972.0,-69.7,-923.4,-48.1,2.0,cycleway,
road,-923.4,-48.1,-867.9,-9.7,2.0,cycleway,
road,-867.9,-9.7,-840.0,14.3,2.0,cycleway,
road,-840.0,14.3,-837.7,16.4,2.0,cycleway,
road,-837.7,16.4,-807.5,45.7,2.0,cycleway,
road,-807.5,45.7,-757.2,96.5,2.0,cycleway,
road,-757.2,96.5,-737.4,114.3,2.0,cycleway,
road,-737.4,114.3,-719.0,128.1,2.0,cycleway,
road,-719.0,128.1,-697.1,145.5,2.0,cycleway,
road,-697.1,145.5,-677.3,157.9,2.0,cycleway,
road,-677.3,157.9,-640.9,171.2,2.0,cycleway,
road,-640.9,171.2,-605.5,179.8,2.0,cycleway,
road,-605.5,179.8,-566.3,184.3,2.0,cycleway,
