type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
water,-1381.7,45.3,-1393.6,51.8,3.0,,
water,-1393.6,51.8,-1404.9,59.7,3.0,,
water,-1404.9,59.7,-1408.9,61.8,3.0,,
water,-1408.9,61.8,-1412.1,64.4,3.0,,
water,-1412.1,64.4,-1417.1,66.5,3.0,,
water,-1417.1,66.5,-1421.8,66.7,3.0,,
water,-1421.8,66.7,-1423.2,68.8,3.0,,
water,-1423.2,68.8,-1425.6,73.3,3.0,,
water,-1425.6,73.3,-1432.6,75.5,3.0,,
water,-1432.6,75.5,-1433.9,79.1,3.0,,
water,-1433.9,79.1,-1431.6,93.3,3.0,,
water,-1431.6,93.3,-1428.7,101.0,3.0,,
water,-1428.7,101.0,-1433.1,102.7,3.0,,
water,-1433.1,102.7,-1437.8,104.6,3.0,,
water,-1437.8,104.6,-1440.9,96.2,3.0,,
water,-1440.9,96.2,-1448.0,84.3,3.0,,
water,-1448.0,84.3,-1451.4,82.7,3.0,,
water,-1451.4,82.7,-1463.6,86.5,3.0,,
water,-1463.6,86.5,-1475.5,86.8,3.0,,
water,-1475.5,86.8,-1513.2,99.8,3.0,,
water,-1513.2,99.8,-1587.2,111.8,3.0,,
water,-1587.2,111.8,-1657.3,109.9,3.0,,
water,-1657.3,109.9,-1736.2,103.9,3.0,,
water,-1736.2,103.9,-1782.8,86.9,3.0,,
water,-1782.8,86.9,-1835.8,70.5,3.0,,
water,-1835.8,70.5,-1871.8,56.1,3.0,,
water,-1871.8,56.1,-1874.3,55.1,3.0,,
water,-1874.3,55.1,-1877.6,53.8,3.0,,
water,-1877.6,53.8,-1931.8,25.5,3.0,,
water,-1931.8,25.5,-1983.3,-2.5,3.0,,
water,-1983.3,-2.5,-2047.4,-53.6,3.0,,
water,-2047.4,-53.6,-2094.0,-93.2,3.0,,
water,-2094.0,-93.2,-2146.3,-155.4,3.0,,
water,-2146.3,-155.4,-2175.5,-195.5,3.0,,
water,-2175.5,-195.5,-2221.0,-251.8,3.0,,
water,-2221.0,-251.8,-2257.8,-298.7,3.0,,
water,-2257.8,-298.7,-2308.3,-364.5,3.0,,
water,-2308.3,-364.5,-2343.8,-407.6,3.0,,
water,-2343.8,-407.6,-2378.7,-447.7,3.0,,
water,-2378.7,-447.7,-2426.8,-498.5,3.0,,
water,-2426.8,-498.5,-2487.5,-562.3,3.0,,
water,-2487.5,-562.3,-2518.9,-594.5,3.0,,
water,-2518.9,-594.5,-2582.0,-650.1,3.0,,
water,-2582.0,-650.1,-2635.7,-689.7,3.0,,
water,-2635.7,-689.7,-2679.0,-715.4,3.0,,
water,-2679.0,-715.4,-2718.2,-744.6,3.0,,
water,-2718.2,-744.6,-2772.3,-780.9,3.0,,
water,-2772.3,-780.9,-2812.2,-799.5,3.0,,
water,-2812.2,-799.5,-2838.2,-830.3,3.0,,
water,-2838.2,-830.3,-2859.1,-843.6,3.0,,
water,-2859.1,-843.6,-2877.2,-852.4,3.0,,
water,-2877.2,-852.4,-2893.5,-857.0,3.0,,
water,-2893.5,-857.0,-2919.6,-872.0,3.0,,
water,-2919.6,-872.0,-2927.1,-880.4,3.0,,
water,-2927.1,-880.4,-2978.5,-917.0,3.0,,
water,-2978.5,-917.0,-3036.6,-962.2,3.0,,
water,-3036.6,-962.2,-3089.1,-1001.6,3.0,,
water,-3089.1,-1001.6,-3149.1,-1050.0,3.0,,
water,-3149.1,-1050.0,-3215.1,-1092.6,3.0,,
water,-3215.1,-1092.6,-3235.5,-1117.0,3.0,,
water,-3235.5,-1117.0,-3253.3,-1124.2,3.0,,
water,-3253.3,-1124.2,-3298.1,-1157.6,3.0,,
water,-3298.1,-1157.6,-3327.2,-1175.6,3.0,,
water,-3327.2,-1175.6,-3370.6,-1193.6,3.0,,
water,-3370.6,-1193.6,-3407.8,-1210.3,3.0,,
water,-3407.8,-1210.3,-3415.0,-1222.3,3.0,,
water,-3415.0,-1222.3,-3432.5,-1229.1,3.0,,
water,-3432.5,-1229.1,-3481.3,-1255.5,3.0,,
water,-3481.3,-1255.5,-3520.0,-1275.6,3.0,,
water,-3520.0,-1275.6,-3572.7,-1298.1,3.0,,
water,-3572.7,-1298.1,-3588.9,-1312.6,3.0,,
water,-3588.9,-1312.6,-3634.9,-1337.7,3.0,,
water,-3634.9,-1337.7,-3660.6,-1346.9,3.0,,
water,-3660.6,-1346.9,-3687.1,-1356.3,3.0,,
water,-3687.1,-1356.3,-3725.6,-1373.5,3.0,,
water,-3725.6,-1373.5,-3766.4,-1376.2,3.0,,
water,-3766.4,-1376.2,-3831.0,-1370.1,3.0,,
water,-3831.0,-1370.1,-3924.3,-1357.1,3.0,,
water,-3924.3,-1357.1,-3978.3,-1349.8,3.0,,
water,-3978.3,-1349.8,-4043.8,-1334.1,3.0,,
water,-4043.8,-1334.1,-4121.4,-1316.2,3.0,,
water,-4121.4,-1316.2,-4178.0,-1310.6,3.0,,
water,-4178.0,-1310.6,-4212.3,-1313.1,3.0,,
water,-4212.3,-1313.1,-4242.3,-1323.0,3.0,,
water,-4242.3,-1323.0,-4264.6,-1337.0,3.0,,
water,-4264.6,-1337.0,-4291.2,-1368.9,3.0,,
water,-4291.2,-1368.9,-4288.5,-1371.6,3.0,,
water,-4288.5,-1371.6,-4290.7,-1374.2,3.0,,
water,-4290.7,-1374.2,-4299.1,-1378.6,3.0,,
water,-4299.1,-1378.6,-4313.9,-1402.3,3.0,,
water,-4313.9,-1402.3,-4320.9,-1409.8,3.0,,
water,-4320.9,-1409.8,-4323.6,-1406.1,3.0,,
water,-4323.6,-1406.1,-4388.1,-1495.4,3.0,,
water,-4388.1,-1495.4,-4459.2,-1591.3,3.0,,
water,-4459.2,-1591.3,-4483.6,-1628.8,3.0,,
water,-4483.6,-1628.8,-4516.3,-1639.5,3.0,,
water,-4516.3,-1639.5,-4547.2,-1630.0,3.0,,
water,-4547.2,-1630.0,-4571.4,-1622.6,3.0,,
water,-4571.4,-1622.6,-4472.6,-1709.1,3.0,,
water,-4472.6,-1709.1,-4478.3,-1675.2,3.0,,
water,-4478.3,-1675.2,-4473.2,-1641.4,3.0,,
water,-4473.2,-1641.4,-4442.3,-1603.2,3.0,,
water,-4442.3,-1603.2,-4369.7,-1507.0,3.0,,
water,-4369.7,-1507.0,-4307.4,-1422.6,3.0,,
water,-4307.4,-1422.6,-4309.3,-1419.2,3.0,,
water,-4309.3,-1419.2,-4301.3,-1408.3,3.0,,
water,-4301.3,-1408.3,-4286.6,-1388.7,3.0,,
water,-4286.6,-1388.7,-4284.6,-1377.9,3.0,,
water,-4284.6,-1377.9,-4282.7,-1375.4,3.0,,
water,-4282.7,-1375.4,-4280.0,-1376.6,3.0,,
water,-4280.0,-1376.6,-4253.7,-1345.9,3.0,,
water,-4253.7,-1345.9,-4230.0,-1331.0,3.0,,
water,-4230.0,-1331.0,-4217.6,-1326.8,3.0,,
water,-4217.6,-1326.8,-4209.9,-1325.4,3.0,,
water,-4209.9,-1325.4,-4176.8,-1324.4,3.0,,
water,-4176.8,-1324.4,-4122.9,-1328.1,3.0,,
water,-4122.9,-1328.1,-4045.5,-1345.0,3.0,,
water,-4045.5,-1345.0,-3980.7,-1363.6,3.0,,
water,-3980.7,-1363.6,-3926.5,-1372.3,3.0,,
water,-3926.5,-1372.3,-3832.0,-1381.7,3.0,,
water,-3832.0,-1381.7,-3767.1,-1389.0,3.0,,
water,-3767.1,-1389.0,-3723.9,-1387.8,3.0,,
water,-3723.9,-1387.8,-3707.4,-1384.6,3.0,,
water,-3707.4,-1384.6,-3682.3,-1370.1,3.0,,
water,-3682.3,-1370.1,-3664.6,-1364.8,3.0,,
water,-3664.6,-1364.8,-3654.5,-1359.5,3.0,,
water,-3654.5,-1359.5,-3647.0,-1365.1,3.0,,
water,-3647.0,-1365.1,-3636.8,-1359.7,3.0,,
water,-3636.8,-1359.7,-3640.7,-1353.2,3.0,,
water,-3640.7,-1353.2,-3610.2,-1335.8,3.0,,
water,-3610.2,-1335.8,-3592.6,-1331.4,3.0,,
water,-3592.6,-1331.4,-3570.1,-1315.7,3.0,,
water,-3570.1,-1315.7,-3555.3,-1304.4,3.0,,
water,-3555.3,-1304.4,-3529.7,-1291.8,3.0,,
water,-3529.7,-1291.8,-3506.7,-1281.1,3.0,,
water,-3506.7,-1281.1,-3481.6,-1268.6,3.0,,
water,-3481.6,-1268.6,-3453.8,-1253.3,3.0,,
water,-3453.8,-1253.3,-3432.2,-1240.3,3.0,,
water,-3432.2,-1240.3,-3408.8,-1223.4,3.0,,
water,-3408.8,-1223.4,-3380.7,-1208.9,3.0,,
water,-3380.7,-1208.9,-3351.5,-1196.5,3.0,,
water,-3351.5,-1196.5,-3326.3,-1180.8,3.0,,
water,-3326.3,-1180.8,-3313.8,-1176.5,3.0,,
water,-3313.8,-1176.5,-3293.4,-1163.9,3.0,,
water,-3293.4,-1163.9,-3257.2,-1136.1,3.0,,
water,-3257.2,-1136.1,-3227.2,-1122.3,3.0,,
water,-3227.2,-1122.3,-3211.2,-1108.0,3.0,,
water,-3211.2,-1108.0,-3189.2,-1090.9,3.0,,
water,-3189.2,-1090.9,-3181.0,-1090.4,3.0,,
water,-3181.0,-1090.4,-3161.9,-1077.3,3.0,,
water,-3161.9,-1077.3,-3132.9,-1049.3,3.0,,
water,-3132.9,-1049.3,-3096.1,-1024.9,3.0,,
water,-3096.1,-1024.9,-3060.1,-997.3,3.0,,
water,-3060.1,-997.3,-3023.1,-971.9,3.0,,
water,-3023.1,-971.9,-3002.3,-950.1,3.0,,
water,-3002.3,-950.1,-2976.4,-936.4,3.0,,
water,-2976.4,-936.4,-2959.7,-926.0,3.0,,
water,-2959.7,-926.0,-2954.4,-920.4,3.0,,
water,-2954.4,-920.4,-2952.0,-910.3,3.0,,
water,-2952.0,-910.3,-2926.4,-899.9,3.0,,
water,-2926.4,-899.9,-2910.4,-883.9,3.0,,
water,-2910.4,-883.9,-2879.0,-868.9,3.0,,
water,-2879.0,-868.9,-2864.5,-854.4,3.0,,
water,-2864.5,-854.4,-2842.7,-841.3,3.0,,
water,-2842.7,-841.3,-2818.0,-825.6,3.0,,
water,-2818.0,-825.6,-2810.0,-822.4,3.0,,
water,-2810.0,-822.4,-2806.0,-820.8,3.0,,
water,-2806.0,-820.8,-2800.0,-817.5,3.0,,
water,-2800.0,-817.5,-2794.1,-813.0,3.0,,
water,-2794.1,-813.0,-2778.7,-804.6,3.0,,
water,-2778.7,-804.6,-2770.0,-798.7,3.0,,
water,-2770.0,-798.7,-2754.5,-789.9,3.0,,
water,-2754.5,-789.9,-2745.5,-783.9,3.0,,
water,-2745.5,-783.9,-2739.5,-779.1,3.0,,
water,-2739.5,-779.1,-2716.3,-763.7,3.0,,
water,-2716.3,-763.7,-2688.9,-745.4,3.0,,
water,-2688.9,-745.4,-2672.6,-735.4,3.0,,
water,-2672.6,-735.4,-2658.2,-724.9,3.0,,
water,-2658.2,-724.9,-2641.2,-712.9,3.0,,
water,-2641.2,-712.9,-2620.6,-699.7,3.0,,
water,-2620.6,-699.7,-2612.3,-694.3,3.0,,
water,-2612.3,-694.3,-2603.4,-687.2,3.0,,
water,-2603.4,-687.2,-2597.1,-682.0,3.0,,
water,-2597.1,-682.0,-2573.2,-663.6,3.0,,
water,-2573.2,-663.6,-2539.9,-636.7,3.0,,
water,-2539.9,-636.7,-2518.8,-618.3,3.0,,
water,-2518.8,-618.3,-2513.2,-612.5,3.0,,
water,-2513.2,-612.5,-2496.9,-597.6,3.0,,
water,-2496.9,-597.6,-2475.1,-575.3,3.0,,
water,-2475.1,-575.3,-2448.1,-548.0,3.0,,
water,-2448.1,-548.0,-2436.8,-535.0,3.0,,
water,-2436.8,-535.0,-2420.7,-518.2,3.0,,
water,-2420.7,-518.2,-2412.3,-508.6,3.0,,
water,-2412.3,-508.6,-2390.3,-484.5,3.0,,
water,-2390.3,-484.5,-2373.0,-464.7,3.0,,
water,-2373.0,-464.7,-2359.9,-450.8,3.0,,
water,-2359.9,-450.8,-2351.8,-440.4,3.0,,
water,-2351.8,-440.4,-2328.1,-415.8,3.0,,
water,-2328.1,-415.8,-2296.4,-371.8,3.0,,
water,-2296.4,-371.8,-2281.7,-364.3,3.0,,
water,-2281.7,-364.3,-2273.0,-345.4,3.0,,
water,-2273.0,-345.4,-2252.7,-317.6,3.0,,
water,-2252.7,-317.6,-2237.2,-300.7,3.0,,
water,-2237.2,-300.7,-2227.0,-284.5,3.0,,
water,-2227.0,-284.5,-2185.0,-233.5,3.0,,
water,-2185.0,-233.5,-2157.2,-200.3,3.0,,
water,-2157.2,-200.3,-2152.6,-202.8,3.0,,
water,-2152.6,-202.8,-2144.8,-194.8,3.0,,
water,-2144.8,-194.8,-2148.7,-191.4,3.0,,
water,-2148.7,-191.4,-2136.1,-169.6,3.0,,
water,-2136.1,-169.6,-2110.7,-143.0,3.0,,
water,-2110.7,-143.0,-2076.6,-104.1,3.0,,
water,-2076.6,-104.1,-2018.6,-52.1,3.0,,
water,-2018.6,-52.1,-1992.0,-31.3,3.0,,
water,-1992.0,-31.3,-1952.1,-2.8,3.0,,
water,-1952.1,-2.8,-1889.5,29.1,3.0,,
water,-1889.5,29.1,-1861.4,41.2,3.0,,
water,-1861.4,41.2,-1835.1,52.1,3.0,,
water,-1835.1,52.1,-1788.4,68.1,3.0,,
water,-1788.4,68.1,-1719.7,91.3,3.0,,
water,-1719.7,91.3,-1620.3,99.5,3.0,,
water,-1620.3,99.5,-1549.2,91.5,3.0,,
water,-1549.2,91.5,-1492.4,81.6,3.0,,
water,-1492.4,81.6,-1450.8,63.0,3.0,,
water,-1450.8,63.0,-1385.9,33.7,3.0,,
water,-1385.9,33.7,-1371.0,28.1,3.0,,
water,-1371.0,28.1,-1358.4,24.6,3.0,,
water,-1358.4,24.6,-1338.7,20.3,3.0,,
water,-1338.7,20.3,-1333.7,18.7,3.0,,
water,-1333.7,18.7,-1319.2,13.1,3.0,,
water,-1319.2,13.1,-1310.3,8.1,3.0,,
water,-1310.3,8.1,-1291.3,-0.2,3.0,,
water,-1291.3,-0.2,-1278.9,-5.7,3.0,,
water,-1278.9,-5.7,-1271.5,-10.5,3.0,,
water,-1271.5,-10.5,-1252.6,-20.7,3.0,,
water,-1252.6,-20.7,-1234.1,-28.2,3.0,,
water,-1234.1,-28.2,-1227.1,-29.0,3.0,,
water,-1227.1,-29.0,-1216.2,-33.9,3.0,,
water,-1216.2,-33.9,-1198.7,-39.2,3.0,,
water,-1198.7,-39.2,-1179.1,-42.3,3.0,,
water,-1179.1,-42.3,-1176.3,-42.8,3.0,,
water,-1176.3,-42.8,-1145.4,-47.8,3.0,,
water,-1145.4,-47.8,-1130.6,-49.7,3.0,,
water,-1130.6,-49.7,-1104.6,-51.5,3.0,,
water,-1104.6,-51.5,-1075.4,-51.7,3.0,,
water,-1075.4,-51.7,-1053.3,-49.3,3.0,,
water,-1053.3,-49.3,-1009.0,-41.0,3.0,,
water,-1009.0,-41.0,-995.5,-38.5,3.0,,
water,-995.5,-38.5,-986.5,-35.6,3.0,,
water,-986.5,-35.6,-955.8,-22.9,3.0,,
water,-955.8,-22.9,-950.4,-21.5,3.0,,
water,-950.4,-21.5,-936.8,-14.2,3.0,,
water,-936.8,-14.2,-905.4,8.3,3.0,,
water,-905.4,8.3,-899.2,13.9,3.0,,
water,-899.2,13.9,-892.9,18.0,3.0,,
water,-892.9,18.0,-884.1,25.0,3.0,,
water,-884.1,25.0,-879.5,30.1,3.0,,
water,-879.5,30.1,-874.7,34.0,3.0,,
water,-874.7,34.0,-872.6,36.7,3.0,,
water,-872.6,36.7,-870.2,40.7,3.0,,
water,-870.2,40.7,-867.4,43.1,3.0,,
water,-867.4,43.1,-864.0,45.5,3.0,,
water,-864.0,45.5,-862.2,47.2,3.0,,
water,-862.2,47.2,-860.5,50.6,3.0,,
water,-860.5,50.6,-859.3,51.0,3.0,,
water,-859.3,51.0,-856.6,50.8,3.0,,
water,-856.6,50.8,-853.0,53.6,3.0,,
water,-853.0,53.6,-849.5,57.3,3.0,,
water,-849.5,57.3,-846.7,60.8,3.0,,
water,-846.7,60.8,-845.3,62.4,3.0,,
water,-845.3,62.4,-843.8,63.3,3.0,,
water,-843.8,63.3,-841.7,64.6,3.0,,
water,-841.7,64.6,-833.4,71.7,3.0,,
water,-833.4,71.7,-831.1,74.6,3.0,,
water,-831.1,74.6,-828.3,77.2,3.0,,
water,-828.3,77.2,-825.4,78.6,3.0,,
water,-825.4,78.6,-822.1,82.0,3.0,,
water,-822.1,82.0,-819.7,83.7,3.0,,
water,-819.7,83.7,-818.9,85.7,3.0,,
water,-818.9,85.7,-813.3,89.6,3.0,,
water,-813.3,89.6,-811.1,89.4,3.0,,
water,-811.1,89.4,-805.3,94.7,3.0,,
water,-805.3,94.7,-803.1,97.3,3.0,,
water,-803.1,97.3,-793.1,105.9,3.0,,
water,-793.1,105.9,-792.5,107.7,3.0,,
water,-792.5,107.7,-775.8,123.4,3.0,,
water,-775.8,123.4,-757.8,145.3,3.0,,
water,-757.8,145.3,-756.2,145.3,3.0,,
water,-756.2,145.3,-754.9,146.5,3.0,,
water,-754.9,146.5,-755.0,147.6,3.0,,
water,-755.0,147.6,-746.5,155.9,3.0,,
water,-746.5,155.9,-737.0,165.8,3.0,,
water,-737.0,165.8,-731.0,166.5,3.0,,
water,-731.0,166.5,-723.4,174.8,3.0,,
water,-723.4,174.8,-718.2,177.6,3.0,,
water,-718.2,177.6,-716.0,179.8,3.0,,
water,-716.0,179.8,-712.5,180.7,3.0,,
water,-712.5,180.7,-709.8,181.8,3.0,,
water,-709.8,181.8,-707.5,183.5,3.0,,
water,-707.5,183.5,-706.1,185.8,3.0,,
water,-706.1,185.8,-699.7,187.9,3.0,,
water,-699.7,187.9,-694.6,191.1,3.0,,
water,-694.6,191.1,-692.0,191.4,3.0,,
water,-692.0,191.4,-688.2,193.4,3.0,,
water,-688.2,193.4,-683.0,194.3,3.0,,
water,-683.0,194.3,-666.8,202.1,3.0,,
water,-666.8,202.1,-662.3,203.3,3.0,,
water,-662.3,203.3,-641.1,212.0,3.0,,
water,-641.1,212.0,-636.2,212.2,3.0,,
water,-636.2,212.2,-623.4,214.1,3.0,,
water,-623.4,214.1,-600.6,218.5,3.0,,
water,-600.6,218.5,-568.2,224.5,3.0,,
water,-568.2,224.5,-558.2,224.5,3.0,,
water,-558.2,224.5,-544.8,224.0,3.0,,
water,-544.8,224.0,-538.8,224.5,3.0,,
water,-538.8,224.5,-533.6,223.7,3.0,,
water,-533.6,223.7,-523.4,223.7,3.0,,
water,-523.4,223.7,-520.2,222.9,3.0,,
water,-520.2,222.9,-516.9,223.5,3.0,,
water,-516.9,223.5,-507.2,222.1,3.0,,
water,-507.2,222.1,-494.6,221.3,3.0,,
water,-494.6,221.3,-485.3,219.4,3.0,,
water,-485.3,219.4,-481.2,219.3,3.0,,
water,-481.2,219.3,-466.0,216.3,3.0,,
water,-466.0,216.3,-456.2,215.7,3.0,,
water,-456.2,215.7,-435.8,212.7,3.0,,
water,-435.8,212.7,-432.4,212.6,3.0,,
water,-432.4,212.6,-421.9,210.6,3.0,,
water,-421.9,210.6,-411.7,209.5,3.0,,
water,-411.7,209.5,-403.3,208.9,3.0,,
water,-403.3,208.9,-396.8,208.2,3.0,,
water,-396.8,208.2,-391.3,206.8,3.0,,
water,-391.3,206.8,-385.7,202.9,3.0,,
water,-385.7,202.9,-380.5,201.7,3.0,,
water,-380.5,201.7,-376.4,199.9,3.0,,
water,-376.4,199.9,-373.8,199.2,3.0,,
water,-373.8,199.2,-372.4,199.0,3.0,,
water,-372.4,199.0,-366.4,197.4,3.0,,
water,-366.4,197.4,-363.0,196.3,3.0,,
water,-363.0,196.3,-360.4,196.4,3.0,,
water,-360.4,196.4,-354.5,194.8,3.0,,
water,-354.5,194.8,-349.9,192.2,3.0,,
water,-349.9,192.2,-345.9,190.8,3.0,,
water,-345.9,190.8,-343.7,189.9,3.0,,
water,-343.7,189.9,-340.9,189.1,3.0,,
water,-340.9,189.1,-338.0,188.3,3.0,,
water,-338.0,188.3,-335.2,187.2,3.0,,
water,-335.2,187.2,-332.9,185.2,3.0,,
water,-332.9,185.2,-328.5,184.0,3.0,,
water,-328.5,184.0,-326.2,183.0,3.0,,
water,-326.2,183.0,-326.1,181.8,3.0,,
water,-326.1,181.8,-318.5,179.4,3.0,,
water,-318.5,179.4,-310.4,175.6,3.0,,
water,-310.4,175.6,-303.4,173.1,3.0,,
water,-303.4,173.1,-297.5,169.9,3.0,,
water,-297.5,169.9,-269.2,155.5,3.0,,
water,-269.2,155.5,-249.6,144.6,3.0,,
water,-249.6,144.6,-236.1,139.0,3.0,,
water,-236.1,139.0,-212.3,128.7,3.0,,
water,-212.3,128.7,-207.7,125.3,3.0,,
water,-207.7,125.3,-189.1,118.7,3.0,,
water,-189.1,118.7,-172.9,113.5,3.0,,
water,-172.9,113.5,-166.5,112.2,3.0,,
water,-166.5,112.2,-140.8,110.7,3.0,,
water,-140.8,110.7,-133.3,111.0,3.0,,
water,-133.3,111.0,-130.3,111.2,3.0,,
water,-130.3,111.2,-102.9,109.4,3.0,,
water,-102.9,109.4,-86.6,108.9,3.0,,
water,-86.6,108.9,-77.6,109.5,3.0,,
water,-77.6,109.5,-66.6,110.5,3.0,,
water,-66.6,110.5,-52.5,114.2,3.0,,
water,-52.5,114.2,-46.3,115.1,3.0,,
water,-46.3,115.1,-41.6,115.8,3.0,,
water,-41.6,115.8,-40.6,116.3,3.0,,
water,-40.6,116.3,-40.3,118.9,3.0,,
water,-40.3,118.9,-39.8,119.6,3.0,,
water,-39.8,119.6,-39.6,119.9,3.0,,
water,-39.6,119.9,-36.8,118.8,3.0,,
water,-36.8,118.8,-36.1,118.4,3.0,,
water,-36.1,118.4,-35.2,118.4,3.0,,
water,-35.2,118.4,-33.1,119.2,3.0,,
water,-33.1,119.2,-32.3,119.9,3.0,,
water,-32.3,119.9,-31.2,121.0,3.0,,
water,-31.2,121.0,-27.6,122.5,3.0,,
water,-27.6,122.5,-25.2,123.5,3.0,,
water,-25.2,123.5,-16.1,125.1,3.0,,
water,-16.1,125.1,-12.5,125.8,3.0,,
water,-12.5,125.8,-8.6,126.8,3.0,,
water,-8.6,126.8,-5.8,127.4,3.0,,
water,-5.8,127.4,-0.2,126.3,3.0,,
water,-0.2,126.3,1.4,126.7,3.0,,
water,1.4,126.7,54.2,137.3,3.0,,
water,54.2,137.3,58.9,138.6,3.0,,
water,58.9,138.6,62.6,139.6,3.0,,
water,62.6,139.6,89.9,144.7,3.0,,
water,89.9,144.7,100.8,147.2,3.0,,
water,100.8,147.2,127.1,154.1,3.0,,
water,127.1,154.1,213.7,176.0,3.0,,
water,213.7,176.0,216.1,176.7,3.0,,
water,216.1,176.7,294.5,196.8,3.0,,
water,294.5,196.8,372.4,217.8,3.0,,
water,372.4,217.8,372.8,216.6,3.0,,
water,372.8,216.6,378.6,218.3,3.0,,
water,378.6,218.3,386.1,220.6,3.0,,
water,386.1,220.6,396.0,223.6,3.0,,
water,396.0,223.6,395.8,224.6,3.0,,
water,395.8,224.6,428.8,236.9,3.0,,
water,428.8,236.9,449.6,244.4,3.0,,
water,449.6,244.4,453.7,243.6,3.0,,
water,453.7,243.6,455.1,241.5,3.0,,
water,455.1,241.5,459.5,242.7,3.0,,
water,459.5,242.7,459.5,244.8,3.0,,
water,459.5,244.8,460.5,247.5,3.0,,
water,460.5,247.5,475.7,251.6,3.0,,
water,475.7,251.6,495.5,260.6,3.0,,
water,495.5,260.6,514.4,264.2,3.0,,
water,514.4,264.2,542.2,270.2,3.0,,
water,542.2,270.2,563.5,278.2,3.0,,
water,563.5,278.2,604.8,286.9,3.0,,
water,604.8,286.9,615.5,287.2,3.0,,
water,615.5,287.2,624.2,290.5,3.0,,
water,624.2,290.5,637.7,289.1,3.0,,
water,637.7,289.1,648.3,291.0,3.0,,
water,648.3,291.0,671.1,290.3,3.0,,
water,671.1,290.3,682.4,292.0,3.0,,
water,682.4,292.0,693.3,294.7,3.0,,
water,693.3,294.7,734.9,295.1,3.0,,
water,734.9,295.1,786.0,295.6,3.0,,
water,786.0,295.6,797.3,294.4,3.0,,
water,797.3,294.4,834.4,292.7,3.0,,
water,834.4,292.7,845.2,291.2,3.0,,
water,845.2,291.2,861.0,290.9,3.0,,
water,861.0,290.9,870.1,291.7,3.0,,
water,870.1,291.7,903.8,291.4,3.0,,
water,903.8,291.4,909.7,291.1,3.0,,
water,909.7,291.1,914.5,289.4,3.0,,
water,914.5,289.4,918.7,287.9,3.0,,
water,918.7,287.9,922.0,287.3,3.0,,
water,922.0,287.3,928.1,287.4,3.0,,
water,928.1,287.4,933.1,286.2,3.0,,
water,933.1,286.2,935.1,284.8,3.0,,
water,935.1,284.8,936.4,283.2,3.0,,
water,936.4,283.2,937.8,281.4,3.0,,
water,937.8,281.4,939.2,280.8,3.0,,
water,939.2,280.8,947.8,280.2,3.0,,
water,947.8,280.2,960.1,280.0,3.0,,
water,960.1,280.0,963.0,280.7,3.0,,
water,963.0,280.7,965.6,280.6,3.0,,
water,965.6,280.6,967.0,280.7,3.0,,
water,967.0,280.7,970.6,279.5,3.0,,
water,970.6,279.5,975.2,278.4,3.0,,
water,975.2,278.4,1012.3,274.8,3.0,,
water,1012.3,274.8,1088.0,273.1,3.0,,
water,1088.0,273.1,1102.5,273.4,3.0,,
water,1102.5,273.4,1117.2,275.1,3.0,,
water,1117.2,275.1,1149.9,272.4,3.0,,
water,1149.9,272.4,1179.4,267.3,3.0,,
water,1179.4,267.3,1214.2,269.8,3.0,,
water,1214.2,269.8,1248.0,269.8,3.0,,
water,1248.0,269.8,1264.7,271.2,3.0,,
water,1264.7,271.2,1275.6,270.2,3.0,,
water,1275.6,270.2,1297.9,273.4,3.0,,
water,1297.9,273.4,1332.7,277.7,3.0,,
water,1332.7,277.7,1361.9,282.8,3.0,,
water,1361.9,282.8,1386.4,287.2,3.0,,
water,1386.4,287.2,1400.6,290.8,3.0,,
water,1400.6,290.8,1403.3,291.7,3.0,,
water,1403.3,291.7,1414.6,293.1,3.0,,
water,1414.6,293.1,1418.1,292.8,3.0,,
water,1418.1,292.8,1421.4,293.2,3.0,,
water,1421.4,293.2,1422.9,294.0,3.0,,
water,1422.9,294.0,1424.6,295.2,3.0,,
water,1424.6,295.2,1426.8,295.5,3.0,,
water,1426.8,295.5,1429.3,294.6,3.0,,
water,1429.3,294.6,1432.3,291.8,3.0,,
water,1432.3,291.8,1437.9,284.5,3.0,,
water,1437.9,284.5,1443.2,287.0,3.0,,
water,1443.2,287.0,1449.7,290.0,3.0,,
water,1449.7,290.0,1447.2,298.7,3.0,,
water,1447.2,298.7,1466.6,307.5,3.0,,
water,1466.6,307.5,1476.6,314.7,3.0,,
water,1476.6,314.7,1489.4,314.7,3.0,,
water,1489.4,314.7,1501.9,316.7,3.0,,
water,1501.9,316.7,1507.5,322.7,3.0,,
water,1507.5,322.7,1521.0,327.1,3.0,,
water,1521.0,327.1,1542.1,339.1,3.0,,
water,1542.1,339.1,1560.7,349.1,3.0,,
water,1560.7,349.1,1583.7,363.8,3.0,,
water,1583.7,363.8,1608.1,378.1,3.0,,
water,1608.1,378.1,1640.5,396.7,3.0,,
water,1640.5,396.7,1677.3,421.8,3.0,,
water,1677.3,421.8,1712.1,447.7,3.0,,
water,1712.1,447.7,1741.1,467.8,3.0,,
water,1741.1,467.8,1760.7,483.0,3.0,,
water,1760.7,483.0,1778.6,494.2,3.0,,
water,1778.6,494.2,1790.7,504.6,3.0,,
