clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0770,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0800,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0807,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0812,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0822,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0824,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0830,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0831,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0839,1,B1(±25°内で最近傍負け),74,-12,-29,17.0,2,,
fold20_room1_mix0853,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0863,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0882,1,B1(±25°内で最近傍負け),32,-176,179,5.0,0,,
fold20_room1_mix0884,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0887,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0914,0,B2(他車帰属),43,-134,4,138.0,2,2.58,中間(他車は注意域)
fold20_room1_mix0925,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0935,1,B2(他車帰属),52,90,-5,95.0,0,0.85,正当(他所に実在の重大車)
fold20_room1_mix0948,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0958,2,B1(±25°内で最近傍負け),85,149,173,24.0,1,,
fold20_room1_mix0963,0,B1(±25°内で最近傍負け),83,56,42,14.0,2,,
fold20_room1_mix0981,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1003,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1016,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1024,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1061,0,B1(±25°内で最近傍負け),55,-6,-19,13.0,2,,
fold20_room1_mix1083,1,B2(他車帰属),73,-37,-175,138.0,0,1.96,中間(他車は注意域)
fold20_room1_mix1089,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1093,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1099,1,B2(他車帰属),77,-53,163,144.0,0,4.20,スチール(他車は安全域)
fold20_room1_mix1102,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1115,1,B2(他車帰属),80,-122,177,61.0,0,1.75,中間(他車は注意域)
fold20_room1_mix1130,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1139,1,B2(他車帰属),73,-64,-176,112.0,0,1.46,正当(他所に実在の重大車)
fold20_room1_mix1150,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1152,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1165,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1180,1,A(強トリガ未成立),,,,,,,
