clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0488,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0499,2,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0510,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0515,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0525,1,B2(他車帰属),75,161,-20,179.0,0,4.50,スチール(他車は安全域)
fold20_room1_mix0540,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0547,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0550,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0551,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0561,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0565,1,B1(±25°内で最近傍負け),72,-166,-161,5.0,0,,
fold20_room1_mix0568,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0572,0,B1(±25°内で最近傍負け),82,-5,20,25.0,1,,
fold20_room1_mix0573,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0587,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0591,0,B1(±25°内で最近傍負け),44,173,165,8.0,1,,
fold20_room1_mix0598,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0600,1,B2(他車帰属),49,125,1,124.0,2,18.79,スチール(他車は安全域)
fold20_room1_mix0605,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0636,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0638,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0638,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0645,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0654,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0670,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0678,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0700,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0705,2,B1(±25°内で最近傍負け),41,-79,-58,21.0,0,,
fold20_room1_mix0725,2,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0727,0,B1(±25°内で最近傍負け),6,0,4,4.0,2,,
fold20_room1_mix0727,1,B2(他車帰属),6,0,179,179.0,2,25.39,スチール(他車は安全域)
fold20_room1_mix0732,2,B1(±25°内で最近傍負け),53,-25,-12,13.0,0,,
fold20_room1_mix0733,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0736,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0740,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0753,0,B1(±25°内で最近傍負け),49,-109,-87,22.0,1,,
fold20_room1_mix0758,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0770,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0774,0,B2(他車帰属),47,-120,2,122.0,1,1.20,正当(他所に実在の重大車)
fold20_room1_mix0779,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0794,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0802,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0807,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0812,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0815,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0817,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0822,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0827,1,B1(±25°内で最近傍負け),25,-174,173,13.0,0,,
fold20_room1_mix0830,2,B2(他車帰属),14,174,-2,176.0,1,12.76,スチール(他車は安全域)
fold20_room1_mix0839,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0842,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0853,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0861,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0862,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0863,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0871,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0874,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0887,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0893,0,B2(他車帰属),32,-15,-179,164.0,1,5.31,スチール(他車は安全域)
fold20_room1_mix0894,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0898,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0899,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0912,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0918,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0938,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0957,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0958,1,B2(他車帰属),63,37,178,141.0,2,1.79,中間(他車は注意域)
fold20_room1_mix0963,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0971,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0981,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0990,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0999,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1003,0,B1(±25°内で最近傍負け),32,-10,6,16.0,1,,
fold20_room1_mix1006,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1016,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,0,B2(他車帰属),42,-77,9,86.0,2,1.69,中間(他車は注意域)
fold20_room1_mix1024,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1033,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1052,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1054,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1058,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1060,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1061,1,B2(他車帰属),57,-52,-11,41.0,0,1.22,正当(他所に実在の重大車)
fold20_room1_mix1079,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1083,1,B2(他車帰属),75,-106,-174,68.0,0,1.27,正当(他所に実在の重大車)
fold20_room1_mix1089,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1095,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1099,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1118,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1136,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1150,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix1155,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1156,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1165,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1172,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1180,1,B2(他車帰属),52,-15,174,171.0,0,4.93,スチール(他車は安全域)
fold20_room1_mix1190,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1200,1,B2(他車帰属),47,-173,-3,170.0,0,2.41,中間(他車は注意域)
