t_s,obj,class,az_deg,dist_m,vis
3.4,4_1,car,-10.3,4.01,1
3.5,4_1,car,-12.0,3.45,1
3.6,4_1,car,-14.3,2.90,1
3.7,4_1,car,-17.8,2.36,1
3.8,4_1,car,-23.2,1.84,1
3.9,4_1,car,-32.8,1.34,1
4.0,4_1,car,-52.6,0.94,1
4.1,4_1,car,-90.7,0.76,1
4.2,4_1,car,-127.9,0.96,1
4.3,4_1,car,-147.0,1.38,1
4.4,4_1,car,-156.5,1.88,1
4.5,4_1,car,-161.9,2.41,1
4.6,4_1,car,-165.3,2.95,1
4.7,4_1,car,-167.7,3.50,1
4.8,4_1,car,-169.4,4.05,1
4.9,4_1,car,-170.7,4.61,1
5.0,4_1,car,-171.7,5.17,1
5.1,4_1,car,-172.5,5.73,1
5.2,4_1,car,-173.2,6.29,1
5.3,4_1,car,-173.7,6.85,1
5.4,4_1,car,-174.2,7.41,1
5.5,4_1,car,-174.6,7.97,1
5.6,4_1,car,-175.0,8.54,1
5.7,4_1,car,-175.3,9.10,1
5.8,4_1,car,-175.6,9.66,1
5.9,4_1,car,-175.8,10.23,1
6.0,4_1,car,-176.0,10.79,1
6.1,4_1,car,-176.2,11.35,1
6.2,4_1,car,-176.4,11.92,1
6.3,4_1,car,-176.6,12.48,1
6.4,4_1,car,-176.7,13.05,1
6.5,4_1,car,-176.9,13.61,1
6.6,4_1,car,-177.0,14.18,1
6.7,4_1,car,-177.1,14.74,1
6.8,4_1,car,-177.2,15.30,1
6.9,4_1,car,-177.3,15.87,1
7.0,4_1,car,-177.4,16.43,1
7.1,4_1,car,-177.5,17.00,1
7.2,4_1,car,-177.6,17.56,1
7.3,4_1,car,-177.6,18.13,1
7.4,4_1,car,-177.7,18.69,1
7.5,4_1,car,-177.8,19.26,1
7.6,4_1,car,-177.8,19.82,1
7.7,4_1,car,-177.9,20.39,1
7.8,4_1,car,-178.0,20.95,1
7.9,4_1,car,-178.0,21.52,1
8.0,4_1,car,-178.1,22.08,1
8.1,4_1,car,-178.1,22.65,1
