t_s,obj,class,az_deg,dist_m
9.2,1,car,-4.8,47.12
9.3,1,car,-4.7,48.39
9.4,1,car,-4.6,49.65
9.5,1,car,-4.5,50.92
9.6,1,car,-4.3,52.19
9.7,1,car,-4.2,53.45
9.8,1,car,-4.1,54.72
9.9,1,car,-4.0,55.98
0.3,2,car,-3.6,98.81
0.4,2,car,-3.7,97.45
0.5,2,car,-3.7,96.08
0.6,2,car,-3.8,94.71
0.7,2,car,-3.8,93.35
0.8,2,car,-3.9,91.98
0.9,2,car,-4.0,90.62
1.0,2,car,-4.0,89.25
1.1,2,car,-4.1,87.89
1.2,2,car,-4.2,86.52
1.3,2,car,-4.2,85.15
1.4,2,car,-4.3,83.79
1.5,2,car,-4.4,82.42
1.6,2,car,-4.4,81.06
1.7,2,car,-4.5,79.69
1.8,2,car,-4.6,78.33
1.9,2,car,-4.7,76.96
2.0,2,car,-4.8,75.60
2.1,2,car,-4.8,74.24
2.2,2,car,-4.9,72.87
2.3,2,car,-5.0,71.51
2.4,2,car,-5.1,70.14
2.5,2,car,-5.2,68.78
2.6,2,car,-5.3,67.42
2.7,2,car,-5.4,66.05
2.8,2,car,-5.6,64.69
2.9,2,car,-5.7,63.33
3.0,2,car,-5.8,61.97
3.1,2,car,-5.9,60.61
3.2,2,car,-6.1,59.24
3.3,2,car,-6.2,57.88
3.4,2,car,-6.4,56.52
3.5,2,car,-6.5,55.16
3.6,2,car,-6.7,53.80
3.7,2,car,-6.9,52.44
3.8,2,car,-7.0,51.08
3.9,2,car,-7.2,49.73
4.0,2,car,-7.4,48.37
4.1,2,car,-7.7,47.01
4.2,2,car,-7.9,45.66
4.3,2,car,-8.1,44.30
4.4,2,car,-8.4,42.95
4.5,2,car,-8.7,41.59
4.6,2,car,-9.0,40.24
4.7,2,car,-9.3,38.89
4.8,2,car,-9.6,37.54
4.9,2,car,-10.0,36.19
5.0,2,car,-10.4,34.85
5.1,2,car,-10.8,33.50
5.2,2,car,-11.2,32.16
5.3,2,car,-11.7,30.82
5.4,2,car,-12.3,29.48
5.5,2,car,-12.9,28.15
5.6,2,car,-13.5,26.82
5.7,2,car,-14.2,25.49
5.8,2,car,-15.0,24.17
5.9,2,car,-15.9,22.85
6.0,2,car,-16.9,21.55
6.1,2,car,-18.1,20.24
