clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0708,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0725,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0727,0,B2(他車帰属),59,-120,25,145.0,2,1.44,正当(他所に実在の重大車)
fold20_room1_mix0727,1,B2(他車帰属),59,-120,176,64.0,2,1.44,正当(他所に実在の重大車)
fold20_room1_mix0732,0,B1(±25°内で最近傍負け),50,-129,-146,17.0,1,,
fold20_room1_mix0732,2,B2(他車帰属),50,-129,-49,80.0,1,6.95,スチール(他車は安全域)
fold20_room1_mix0740,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0742,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0749,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0758,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0765,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0774,0,B2(他車帰属),47,-120,2,122.0,1,1.20,正当(他所に実在の重大車)
fold20_room1_mix0775,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0788,0,B2(他車帰属),83,47,-143,170.0,2,1.18,正当(他所に実在の重大車)
fold20_room1_mix0800,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0812,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0815,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0817,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0822,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0825,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0827,0,B2(他車帰属),61,107,-19,126.0,1,1.38,正当(他所に実在の重大車)
fold20_room1_mix0839,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0853,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0854,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0863,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0871,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0887,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0898,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0905,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0914,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0918,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0925,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0935,1,B2(他車帰属),51,46,-5,51.0,0,1.03,正当(他所に実在の重大車)
fold20_room1_mix0938,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0940,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,0,B2(他車帰属),83,-60,-2,58.0,2,1.75,中間(他車は注意域)
fold20_room1_mix0957,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0967,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0971,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0974,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1003,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1016,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,0,B2(他車帰属),43,-70,10,80.0,2,1.52,中間(他車は注意域)
fold20_room1_mix1018,1,B2(他車帰属),43,-70,160,130.0,2,1.52,中間(他車は注意域)
fold20_room1_mix1024,1,B2(他車帰属),53,91,-3,94.0,2,3.08,中間(他車は注意域)
fold20_room1_mix1046,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1054,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1061,0,B2(他車帰属),65,-69,-173,104.0,1,1.02,正当(他所に実在の重大車)
fold20_room1_mix1064,1,B2(他車帰属),71,-128,-4,124.0,0,0.92,正当(他所に実在の重大車)
fold20_room1_mix1083,1,B2(他車帰属),75,-93,-174,81.0,0,1.27,正当(他所に実在の重大車)
fold20_room1_mix1099,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1102,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1115,1,B2(他車帰属),80,-110,177,73.0,0,1.75,中間(他車は注意域)
fold20_room1_mix1119,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1126,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1130,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1139,0,B2(他車帰属),88,-115,-174,59.0,1,1.25,正当(他所に実在の重大車)
fold20_room1_mix1152,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1170,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1172,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1179,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1182,2,B2(他車帰属),47,-123,-174,51.0,1,1.17,正当(他所に実在の重大車)
fold20_room1_mix1189,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1190,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1200,1,B2(他車帰属),50,-111,-3,108.0,0,1.01,正当(他所に実在の重大車)
