type,a,b,c,d
scene,arterial,static,0.0,0.000
map,1,,,,,,
poi,87.3,66.6,crossing,,,,
poi,92.0,68.6,signal,,,,
poi,90.9,75.0,crossing,,,,
poi,94.0,61.9,crossing,,,,
poi,-17.2,-16.0,gate,,,,
poi,-6.3,0.9,crossing,,,,
poi,-62.7,-7.2,gate,,,,
poi,8.6,8.8,crossing,,,,
poi,17.0,-3.4,gate,,,,
water,1795.1,517.0,1922.2,600.5,12.0,利根運河,
water,1922.2,600.5,1985.9,642.3,12.0,利根運河,
water,1985.9,642.3,2095.4,722.9,12.0,利根運河,
water,2095.4,722.9,2278.9,841.9,12.0,利根運河,
water,2278.9,841.9,2316.6,873.2,12.0,利根運河,
water,2316.6,873.2,2352.7,909.1,12.0,利根運河,
water,2352.7,909.1,2434.5,997.4,12.0,利根運河,
water,2434.5,997.4,2452.0,1017.5,12.0,利根運河,
water,2452.0,1017.5,2485.8,1056.3,12.0,利根運河,
road,87.3,66.6,92.0,68.6,5.5,unclassified,
road,28.9,31.7,40.1,42.7,5.5,unclassified,
road,40.1,42.7,44.4,46.2,5.5,unclassified,
road,44.4,46.2,49.1,49.8,5.5,unclassified,
road,49.1,49.8,54.3,52.8,5.5,unclassified,
road,54.3,52.8,61.6,56.2,5.5,unclassified,
road,2.8,1.0,-6.3,0.9,5.5,unclassified,
road,-6.3,0.9,-12.1,0.7,5.5,unclassified,
road,-12.1,0.7,-62.7,-1.5,5.5,unclassified,
road,-62.7,-1.5,-111.5,-3.4,5.5,unclassified,
road,-111.5,-3.4,-160.4,-5.3,5.5,unclassified,
road,-160.4,-5.3,-190.4,-6.5,5.5,unclassified,
road,-190.4,-6.5,-205.1,-7.0,5.5,unclassified,
road,-205.1,-7.0,-266.1,-9.3,5.5,unclassified,
road,-266.1,-9.3,-300.7,-10.7,5.5,unclassified,
road,-300.7,-10.7,-338.6,-11.4,5.5,unclassified,
road,-111.5,-3.4,-111.3,-8.5,3.5,service,
road,-111.3,-8.5,-111.2,-13.5,3.5,service,
road,-111.2,-13.5,-109.7,-51.5,3.5,service,
road,-109.7,-51.5,-109.4,-59.4,3.5,service,
road,-109.4,-59.4,-109.1,-69.0,3.5,service,
road,-109.1,-69.0,-109.0,-72.1,3.5,service,
road,-109.0,-72.1,-106.9,-134.3,3.5,service,
bldg,42.8,20.2,37.2,25.3,60.9,3.2,第三食堂
bldg,-86.3,33.1,49.2,24.2,-178.6,12.8,1号館
bldg,-78.0,-73.1,101.7,24.7,91.8,12.8,2号館
bldg,-153.6,-35.9,84.2,24.5,-178.7,12.8,4号館
bldg,-156.4,24.6,70.4,41.0,169.3,9.6,カナル会館
road,111.1,26.3,114.8,28.6,5.0,residential,
road,114.8,28.6,122.3,33.4,5.0,residential,
road,122.3,33.4,143.7,44.4,5.0,residential,
road,143.7,44.4,152.9,48.7,5.0,residential,
road,152.9,48.7,226.7,69.8,5.0,residential,
road,226.7,69.8,273.4,82.6,5.0,residential,
rail,1248.2,-1428.5,1231.6,-1407.9,,東武野田線,
rail,1231.6,-1407.9,1049.9,-1183.7,,東武野田線,
rail,1049.9,-1183.7,1015.8,-1141.1,,東武野田線,
rail,1015.8,-1141.1,974.5,-1090.0,,東武野田線,
rail,974.5,-1090.0,948.6,-1058.5,,東武野田線,
rail,948.6,-1058.5,778.3,-847.2,,東武野田線,
rail,778.3,-847.2,640.7,-676.0,,東武野田線,
rail,640.7,-676.0,541.6,-553.8,,東武野田線,
rail,541.6,-553.8,418.7,-402.8,,東武野田線,
rail,418.7,-402.8,305.1,-260.9,,東武野田線,
rail,305.1,-260.9,202.4,-134.1,,東武野田線,
rail,202.4,-134.1,132.5,-47.8,,東武野田線,
rail,132.5,-47.8,117.6,-29.1,,東武野田線,
rail,117.6,-29.1,100.0,-5.6,,東武野田線,
rail,100.0,-5.6,87.8,12.5,,東武野田線,
rail,87.8,12.5,78.5,28.0,,東武野田線,
