half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
1,1,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm1.6,80.78,96.80,89.07,75.69,80.00,1.10,23.08,1441
1,2,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm1.6,83.99,96.80,89.34,69.95,76.67,1.30,24.54,1499
1,3,brg5+mn4/4+rc(0.05,15)+link+cs0.7/cm2.0,74.02,96.80,89.07,70.87,36.67,1.00,22.41,1443
1,4,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm2.0,80.78,96.80,89.34,68.12,36.67,1.20,25.38,1496
1,5,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm2.0,83.99,96.80,89.89,63.76,33.33,1.40,26.46,1546
1,6,brg5+mn4/4+rc(0.05,15)+link+cs0.7/cm2.4,74.02,97.15,90.71,66.74,6.67,1.30,26.28,1533
1,7,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm2.4,80.78,97.15,90.98,65.14,6.67,1.35,28.38,1555
1,8,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm2.4,83.99,97.15,91.26,61.93,6.67,1.50,29.32,1576
1,9,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm1.6,78.65,96.44,88.80,79.13,80.00,0.90,18.62,1371
1,10,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm1.6,83.63,96.80,89.07,75.69,80.00,1.10,23.08,1441
1,11,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm1.6,86.12,96.80,89.34,69.95,76.67,1.30,24.54,1499
1,12,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm2.0,78.65,96.80,89.07,70.87,36.67,1.00,22.41,1443
1,13,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm2.0,83.63,96.80,89.34,68.12,36.67,1.20,25.38,1496
1,14,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm2.0,86.12,96.80,89.89,63.76,33.33,1.40,26.46,1546
1,15,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm2.4,78.65,97.15,90.71,66.74,6.67,1.30,26.28,1533
1,16,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm2.4,83.63,97.15,90.98,65.14,6.67,1.30,28.38,1555
1,17,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm2.4,86.12,97.15,91.26,61.93,6.67,1.50,29.32,1576
1,18,brg5+mn4/4+rc(0.05,15)+link+cs1.0/cm1.6,83.27,96.44,88.80,79.36,80.00,0.90,18.79,1371
1,19,brg5+mn4/4+rc(0.10,15)+link+cs1.0/cm1.6,85.77,96.80,89.07,75.92,80.00,1.10,23.08,1441
1,20,brg5+mn4/4+rc(0.15,15)+link+cs1.0/cm1.6,87.90,96.80,89.34,70.18,76.67,1.40,24.54,1499
1,21,brg5+mn4/4+rc(0.05,15)+link,83.27,96.80,89.07,71.10,36.67,1.00,22.58,1443
1,22,brg5+mn4/4+rc(0.10,15)+link,85.77,96.80,89.34,68.35,36.67,1.20,25.38,1496
1,23,brg5+mn4/4+rc(0.15,15)+link,87.90,96.80,89.89,63.99,33.33,1.40,26.46,1546
1,24,brg5+mn4/4+rc(0.05,15)+link+cs1.0/cm2.4,83.27,97.15,90.71,66.97,6.67,1.30,26.28,1533
1,25,brg5+mn4/4+rc(0.10,15)+link+cs1.0/cm2.4,85.77,97.15,90.98,65.37,6.67,1.40,28.38,1555
1,26,brg5+mn4/4+rc(0.15,15)+link+cs1.0/cm2.4,87.90,97.15,91.26,62.16,6.67,1.50,29.32,1576
1,27,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm1.6,85.41,96.44,88.80,79.36,80.00,0.90,18.96,1371
1,28,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm1.6,87.54,96.80,89.07,75.92,80.00,1.15,23.08,1441
1,29,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm1.6,89.32,96.80,89.34,70.18,76.67,1.40,24.54,1499
1,30,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm2.0,85.41,96.80,89.07,71.10,36.67,1.10,22.74,1443
1,31,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm2.0,87.54,96.80,89.34,68.35,36.67,1.20,25.38,1496
1,32,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm2.0,89.32,96.80,89.89,63.99,33.33,1.40,26.46,1546
1,33,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm2.4,85.41,97.15,90.71,66.97,6.67,1.30,26.45,1533
1,34,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm2.4,87.54,97.15,90.98,65.37,6.67,1.40,28.38,1555
1,35,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm2.4,89.32,97.15,91.26,62.16,6.67,1.50,29.32,1576
1,36,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm1.6,87.54,96.44,88.80,79.36,80.00,0.90,19.13,1371
1,37,brg5+mn4/4+rc(0.10,15)+link+cs1.3/cm1.6,88.97,96.80,89.07,75.92,80.00,1.20,23.08,1441
1,38,brg5+mn4/4+rc(0.15,15)+link+cs1.3/cm1.6,90.39,96.80,89.34,70.18,76.67,1.40,24.54,1499
1,39,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm2.0,87.54,96.80,89.07,71.10,36.67,1.10,22.58,1443
1,40,brg5+mn4/4+rc(0.10,15)+link+cs1.3/cm2.0,88.97,96.80,89.34,68.35,36.67,1.20,25.38,1496
1,41,brg5+mn4/4+rc(0.15,15)+link+cs1.3/cm2.0,90.39,96.80,89.89,63.99,33.33,1.50,26.46,1546
1,42,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm2.4,87.54,97.15,90.71,66.97,6.67,1.30,26.28,1533
1,43,brg5+mn4/4+rc(0.10,15)+link+cs1.3/cm2.4,88.97,97.15,90.98,65.37,6.67,1.40,28.38,1555
1,44,brg5+mn4/4+rc(0.15,15)+link+cs1.3/cm2.4,90.39,97.15,91.26,62.16,6.67,1.50,29.32,1576
