half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,58,brg9+mn4/6+rc(0.05,8),86.60,96.22,93.14,64.29,4.55,1.70,34.91,1743
0,59,brg9+mn4/6+rc(0.05,8)+link,86.94,96.56,93.14,64.05,4.55,1.70,34.86,1739
0,60,brg9+mn4/6+rc(0.05,15),87.29,96.22,93.40,63.57,4.55,1.80,36.44,1753
0,61,brg9+mn4/6+rc(0.05,15)+link,87.63,96.56,93.40,63.33,4.55,1.80,36.38,1749
0,62,brg9+mn4/6+rc(0.10,8),86.60,96.22,93.14,64.29,4.55,1.70,35.07,1738
0,63,brg9+mn4/6+rc(0.10,8)+link,86.94,96.56,93.14,64.05,4.55,1.70,35.02,1734
0,64,brg9+mn4/6+rc(0.10,15),89.35,95.88,93.40,61.90,4.55,1.90,37.60,1748
0,65,brg9+mn4/6+rc(0.10,15)+link,89.69,96.22,93.40,61.67,4.55,1.90,37.54,1744
0,66,brg9+mn4/6+rc(0.20,8),87.97,96.22,93.14,63.81,4.55,1.80,35.07,1732
0,67,brg9+mn4/6+rc(0.20,8)+link,88.32,96.56,93.14,63.57,4.55,1.75,35.02,1729
0,68,brg9+mn4/6+rc(0.20,15),92.44,96.22,94.20,54.29,4.55,2.00,38.62,1752
0,69,brg9+mn4/6+rc(0.20,15)+link,92.44,96.91,94.20,54.29,4.55,2.00,38.50,1749
0,70,brg9+mn3/5,91.75,97.59,95.78,58.81,4.55,2.00,40.65,1927
0,71,brg9+mn3/5+link,91.75,98.28,95.78,58.57,4.55,2.00,40.52,1926
0,72,brg9+mn3/5+rc(0.05,8),92.10,97.59,95.78,58.81,4.55,2.10,40.96,1936
0,73,brg9+mn3/5+rc(0.05,8)+link,92.10,98.28,95.78,58.81,4.55,2.00,40.83,1933
0,74,brg9+mn3/5+rc(0.05,15),92.10,97.59,95.78,58.10,4.55,2.10,41.42,1934
0,75,brg9+mn3/5+rc(0.05,15)+link,92.10,98.28,95.78,58.10,4.55,2.10,41.29,1931
0,76,brg9+mn3/5+rc(0.10,8),92.10,97.59,95.78,58.81,4.55,2.10,40.96,1931
0,77,brg9+mn3/5+rc(0.10,8)+link,92.10,98.28,95.78,58.81,4.55,2.00,40.83,1928
0,78,brg9+mn3/5+rc(0.10,15),93.13,98.28,95.78,56.67,4.55,2.10,43.30,1925
0,79,brg9+mn3/5+rc(0.10,15)+link,92.78,98.97,95.78,56.67,4.55,2.10,43.16,1922
0,80,brg9+mn3/5+rc(0.20,8),92.78,97.59,95.78,58.33,4.55,2.10,40.80,1922
0,81,brg9+mn3/5+rc(0.20,8)+link,92.78,98.28,95.78,58.57,4.55,2.00,40.68,1918
0,82,brg9+mn3/5+rc(0.20,15),94.50,97.94,96.31,47.86,4.55,2.15,43.69,1932
0,83,brg9+mn3/5+rc(0.20,15)+link,94.50,98.28,96.31,48.10,4.55,2.10,43.63,1928
0,84,brg13+mn4/4,87.63,96.56,93.40,63.81,4.55,1.60,31.81,1602
0,85,brg13+mn4/4+link,88.32,97.25,93.40,63.81,4.55,1.60,31.71,1599
0,86,brg13+mn4/4+rc(0.05,8),87.63,96.56,93.40,63.81,4.55,1.60,31.81,1601
0,87,brg13+mn4/4+rc(0.05,8)+link,88.32,97.25,93.40,63.81,4.55,1.60,31.71,1598
0,88,brg13+mn4/4+rc(0.05,15),88.32,96.56,93.40,63.81,4.55,1.70,33.23,1595
0,89,brg13+mn4/4+rc(0.05,15)+link,89.00,97.25,93.40,63.81,4.55,1.70,33.12,1592
0,90,brg13+mn4/4+rc(0.10,8),87.63,96.56,93.40,63.81,4.55,1.60,31.97,1595
0,91,brg13+mn4/4+rc(0.10,8)+link,88.32,97.25,93.40,63.81,4.55,1.60,31.87,1592
0,92,brg13+mn4/4+rc(0.10,15),90.03,96.22,93.40,61.90,4.55,1.70,33.28,1583
0,93,brg13+mn4/4+rc(0.10,15)+link,90.72,96.91,93.40,61.90,4.55,1.70,33.18,1580
0,94,brg13+mn4/4+rc(0.20,8),89.00,96.56,93.40,63.57,4.55,1.60,31.81,1597
0,95,brg13+mn4/4+rc(0.20,8)+link,89.69,97.25,93.40,63.57,4.55,1.60,31.71,1594
0,96,brg13+mn4/4+rc(0.20,15),92.44,97.25,94.20,55.00,4.55,1.80,33.59,1584
0,97,brg13+mn4/4+rc(0.20,15)+link,92.78,97.94,94.46,55.00,4.55,1.80,33.44,1581
0,98,brg13+mn4/6,89.69,96.91,93.67,61.19,4.55,1.70,34.22,1700
0,99,brg13+mn4/6+link,90.03,97.25,93.67,61.19,4.55,1.70,34.17,1696
0,100,brg13+mn4/6+rc(0.05,8),89.69,96.91,93.67,61.19,4.55,1.70,34.22,1703
0,101,brg13+mn4/6+rc(0.05,8)+link,90.03,97.25,93.67,61.19,4.55,1.70,34.17,1699
0,102,brg13+mn4/6+rc(0.05,15),90.03,96.91,93.93,61.19,4.55,1.80,35.42,1693
0,103,brg13+mn4/6+rc(0.05,15)+link,90.03,97.25,93.93,61.19,4.55,1.80,35.37,1689
0,104,brg13+mn4/6+rc(0.10,8),89.69,96.91,93.67,61.19,4.55,1.70,34.38,1697
0,105,brg13+mn4/6+rc(0.10,8)+link,90.03,97.25,93.67,61.19,4.55,1.70,34.33,1693
0,106,brg13+mn4/6+rc(0.10,15),91.41,96.91,93.93,59.52,4.55,1.80,35.27,1671
0,107,brg13+mn4/6+rc(0.10,15)+link,91.41,97.25,93.93,59.52,4.55,1.80,35.21,1667
0,108,brg13+mn4/6+rc(0.20,8),90.72,96.91,93.67,60.95,4.55,1.70,34.22,1690
0,109,brg13+mn4/6+rc(0.20,8)+link,91.07,97.25,93.67,60.95,4.55,1.70,34.17,1686
