t_s,obj,class,az_deg,dist_m
7.3,1,train,93.3,35.48
7.4,1,train,93.4,37.13
7.5,1,train,93.4,38.79
7.6,1,train,93.5,40.44
7.7,1,train,93.5,42.10
7.8,1,train,93.5,43.75
7.9,1,train,93.5,45.41
8.0,1,train,93.6,47.07
8.1,1,train,93.6,48.73
8.2,1,train,93.6,50.39
8.3,1,train,93.6,52.05
8.4,1,train,93.7,53.71
8.5,1,train,93.7,55.38
8.6,1,train,93.7,57.04
8.7,1,train,93.7,58.70
8.8,1,train,93.7,60.37
8.9,1,train,93.7,62.03
9.0,1,train,93.8,63.70
9.1,1,train,93.8,65.36
9.2,1,train,93.8,67.03
9.3,1,train,93.8,68.69
9.4,1,train,93.8,70.36
9.5,1,train,93.8,72.02
9.6,1,train,93.8,73.69
9.7,1,train,93.8,75.35
9.8,1,train,93.9,77.02
9.9,1,train,93.9,78.69
0.4,2,train,-86.6,100.35
0.5,2,train,-86.6,98.68
0.6,2,train,-86.6,97.01
0.7,2,train,-86.6,95.34
0.8,2,train,-86.6,93.68
0.9,2,train,-86.6,92.01
1.0,2,train,-86.6,90.34
1.1,2,train,-86.6,88.67
1.2,2,train,-86.6,87.01
1.3,2,train,-86.7,85.34
1.4,2,train,-86.7,83.67
1.5,2,train,-86.7,82.00
1.6,2,train,-86.7,80.34
1.7,2,train,-86.7,78.67
1.8,2,train,-86.7,77.00
1.9,2,train,-86.7,75.34
2.0,2,train,-86.7,73.67
2.1,2,train,-86.8,72.00
2.2,2,train,-86.8,70.34
2.3,2,train,-86.8,68.67
2.4,2,train,-86.8,67.01
2.5,2,train,-86.8,65.34
2.6,2,train,-86.8,63.68
2.7,2,train,-86.9,62.01
2.8,2,train,-86.9,60.35
2.9,2,train,-86.9,58.69
3.0,2,train,-86.9,57.02
3.1,2,train,-87.0,55.36
3.2,2,train,-87.0,53.70
3.3,2,train,-87.0,52.04
3.4,2,train,-87.0,50.37
3.5,2,train,-87.1,48.71
3.6,2,train,-87.1,47.05
3.7,2,train,-87.1,45.40
3.8,2,train,-87.2,43.74
3.9,2,train,-87.2,42.08
4.0,2,train,-87.3,40.43
4.1,2,train,-87.3,38.77
4.2,2,train,-87.4,37.12
4.3,2,train,-87.4,35.47
4.4,2,train,-87.5,33.82
4.5,2,train,-87.6,32.17
4.6,2,train,-87.7,30.53
4.7,2,train,-87.8,28.89
4.8,2,train,-87.9,27.25
4.9,2,train,-88.0,25.61
5.0,2,train,-88.1,23.99
5.1,2,train,-88.3,22.36
5.2,2,train,-88.5,20.75
5.3,2,train,-88.7,19.15
5.4,2,train,-88.9,17.55
5.5,2,train,-89.2,15.98
5.6,2,train,-89.6,14.42
5.7,2,train,-90.1,12.90
5.8,2,train,-90.8,11.41
5.9,2,train,-91.7,9.99
6.0,2,train,-93.1,8.65
6.1,2,train,-95.4,7.45
6.2,2,train,-99.7,6.46
6.3,2,train,-110.9,5.80
6.4,2,train,-162.7,5.57
6.5,2,train,125.4,5.83
6.6,2,train,110.1,6.53
6.7,2,train,104.8,7.53
6.8,2,train,102.1,8.75
6.9,2,train,100.5,10.09
7.0,2,train,99.5,11.52
7.1,2,train,98.8,13.01
7.2,2,train,98.2,14.54
7.3,2,train,97.8,16.09
7.4,2,train,97.4,17.67
7.5,2,train,97.1,19.26
7.6,2,train,96.9,20.87
7.7,2,train,96.7,22.48
7.8,2,train,96.5,24.11
7.9,2,train,96.4,25.74
8.0,2,train,96.2,27.37
8.1,2,train,96.1,29.01
8.2,2,train,96.0,30.65
8.3,2,train,95.9,32.29
8.4,2,train,95.9,33.94
8.5,2,train,95.8,35.59
8.6,2,train,95.7,37.24
8.7,2,train,95.6,38.89
8.8,2,train,95.6,40.55
8.9,2,train,95.5,42.20
9.0,2,train,95.5,43.86
9.1,2,train,95.4,45.52
9.2,2,train,95.4,47.18
9.3,2,train,95.4,48.84
9.4,2,train,95.3,50.50
9.5,2,train,95.3,52.16
9.6,2,train,95.3,53.82
9.7,2,train,95.2,55.48
9.8,2,train,95.2,57.15
9.9,2,train,95.2,58.81
0.4,3,train,-87.1,120.29
0.5,3,train,-87.2,118.62
0.6,3,train,-87.2,116.95
0.7,3,train,-87.2,115.28
0.8,3,train,-87.2,113.62
0.9,3,train,-87.2,111.95
1.0,3,train,-87.2,110.28
1.1,3,train,-87.3,108.61
1.2,3,train,-87.3,106.94
1.3,3,train,-87.3,105.27
1.4,3,train,-87.3,103.61
1.5,3,train,-87.3,101.94
1.6,3,train,-87.3,100.27
1.7,3,train,-87.4,98.60
1.8,3,train,-87.4,96.93
1.9,3,train,-87.4,95.27
2.0,3,train,-87.4,93.60
2.1,3,train,-87.5,91.93
2.2,3,train,-87.5,90.26
2.3,3,train,-87.5,88.60
2.4,3,train,-87.5,86.93
2.5,3,train,-87.6,85.26
2.6,3,train,-87.6,83.60
2.7,3,train,-87.6,81.93
2.8,3,train,-87.7,80.26
2.9,3,train,-87.7,78.60
3.0,3,train,-87.7,76.93
3.1,3,train,-87.8,75.26
3.2,3,train,-87.8,73.60
3.3,3,train,-87.8,71.93
3.4,3,train,-87.9,70.27
