t_s,obj,class,az_deg,dist_m,vis
4.5,1,bike_bell,-173.7,8.97,0
4.6,1,bike_bell,-173.5,8.68,0
4.7,1,bike_bell,-173.2,8.38,0
4.8,1,bike_bell,-173.0,8.09,0
4.9,1,bike_bell,-172.7,7.79,0
5.0,1,bike_bell,-172.4,7.50,0
5.1,1,bike_bell,-172.1,7.20,0
5.2,1,bike_bell,-171.8,6.91,0
5.3,1,bike_bell,-171.4,6.61,0
5.4,1,bike_bell,-171.0,6.32,0
5.5,1,bike_bell,-170.6,6.03,1
5.6,1,bike_bell,-170.1,5.74,1
5.7,1,bike_bell,-169.5,5.44,1
5.8,1,bike_bell,-168.9,5.15,1
5.9,1,bike_bell,-168.3,4.86,1
6.0,1,bike_bell,-167.5,4.57,1
6.1,1,bike_bell,-166.6,4.28,1
6.2,1,bike_bell,-165.7,3.99,1
6.3,1,bike_bell,-164.5,3.70,1
6.4,1,bike_bell,-163.2,3.42,1
6.5,1,bike_bell,-161.6,3.14,1
6.6,1,bike_bell,-159.7,2.86,1
6.7,1,bike_bell,-157.5,2.58,1
6.8,1,bike_bell,-154.6,2.31,1
6.9,1,bike_bell,-151.1,2.04,1
7.0,1,bike_bell,-146.5,1.79,1
7.1,1,bike_bell,-140.4,1.55,1
7.2,1,bike_bell,-132.2,1.34,1
7.3,1,bike_bell,-121.3,1.16,1
7.4,1,bike_bell,-107.2,1.04,1
7.5,1,bike_bell,-90.7,1.00,0
7.6,1,bike_bell,-74.1,1.04,0
7.7,1,bike_bell,-59.9,1.16,0
7.8,1,bike_bell,-48.8,1.34,0
7.9,1,bike_bell,-40.5,1.55,0
8.0,1,bike_bell,-34.3,1.79,0
8.1,1,bike_bell,-29.6,2.04,0
8.2,1,bike_bell,-26.0,2.31,0
8.3,1,bike_bell,-23.1,2.58,0
8.4,1,bike_bell,-20.7,2.86,0
8.5,1,bike_bell,-18.8,3.14,0
8.6,1,bike_bell,-17.2,3.42,0
8.7,1,bike_bell,-15.8,3.70,0
8.8,1,bike_bell,-14.7,3.99,0
8.9,1,bike_bell,-13.7,4.28,0
9.0,1,bike_bell,-12.8,4.57,0
9.1,1,bike_bell,-12.0,4.86,0
9.2,1,bike_bell,-11.3,5.15,0
9.3,1,bike_bell,-10.7,5.44,0
9.4,1,bike_bell,-10.2,5.74,0
9.5,1,bike_bell,-9.7,6.03,0
9.6,1,bike_bell,-9.2,6.32,0
9.7,1,bike_bell,-8.8,6.61,0
9.8,1,bike_bell,-8.4,6.91,0
9.9,1,bike_bell,-8.1,7.20,0
