t_s,obj,class,az_deg,dist_m
0.6,2,car,175.1,74.04
0.7,2,car,175.1,72.79
0.8,2,car,175.0,71.55
0.9,2,car,174.9,70.30
1.0,2,car,174.8,69.06
1.1,2,car,174.7,67.81
1.2,2,car,174.6,66.57
1.3,2,car,174.5,65.32
1.4,2,car,174.4,64.08
1.5,2,car,174.3,62.84
1.6,2,car,174.2,61.59
1.7,2,car,174.0,60.35
1.8,2,car,173.9,59.11
1.9,2,car,173.8,57.87
2.0,2,car,173.6,56.62
2.1,2,car,173.5,55.38
2.2,2,car,173.4,54.14
2.3,2,car,173.2,52.90
2.4,2,car,173.0,51.66
2.5,2,car,172.9,50.42
2.6,2,car,172.7,49.18
2.7,2,car,172.5,47.94
2.8,2,car,172.3,46.70
2.9,2,car,172.1,45.47
3.0,2,car,171.9,44.23
3.1,2,car,171.6,42.99
3.2,2,car,171.4,41.76
3.3,2,car,171.1,40.52
3.4,2,car,170.8,39.29
3.5,2,car,170.5,38.06
3.6,2,car,170.2,36.83
3.7,2,car,169.9,35.60
3.8,2,car,169.5,34.37
3.9,2,car,169.1,33.14
4.0,2,car,168.7,31.92
4.1,2,car,168.2,30.70
4.2,2,car,167.7,29.48
4.3,2,car,167.2,28.26
4.4,2,car,166.6,27.04
4.5,2,car,166.0,25.83
4.6,2,car,165.2,24.62
4.7,2,car,164.5,23.42
4.8,2,car,163.6,22.22
4.9,2,car,162.6,21.03
5.0,2,car,161.6,19.84
5.1,2,car,160.4,18.67
5.2,2,car,159.0,17.50
5.3,2,car,157.4,16.35
5.4,2,car,155.6,15.21
5.5,2,car,153.5,14.09
5.6,2,car,151.0,12.99
5.7,2,car,148.1,11.93
5.8,2,car,144.6,10.90
5.9,2,car,140.5,9.92
6.0,2,car,135.4,9.02
6.1,2,car,129.2,8.20
6.2,2,car,121.8,7.50
6.3,2,car,113.0,6.96
6.4,2,car,102.9,6.62
6.5,2,car,92.1,6.50
6.6,2,car,81.2,6.62
6.7,2,car,70.9,6.96
6.8,2,car,61.8,7.50
6.9,2,car,54.1,8.20
7.0,2,car,47.6,9.02
7.1,2,car,42.3,9.92
7.2,2,car,37.9,10.90
7.3,2,car,34.2,11.93
7.4,2,car,31.1,12.99
7.5,2,car,28.4,14.09
7.6,2,car,26.2,15.21
7.7,2,car,24.3,16.35
7.8,2,car,22.6,17.50
7.9,2,car,21.1,18.67
8.0,2,car,19.8,19.84
8.1,2,car,18.6,21.03
8.2,2,car,17.6,22.22
8.3,2,car,16.7,23.42
8.4,2,car,15.9,24.62
8.5,2,car,15.1,25.83
8.6,2,car,14.4,27.04
8.7,2,car,13.8,28.26
8.8,2,car,13.2,29.48
8.9,2,car,12.7,30.70
9.0,2,car,12.2,31.92
9.1,2,car,11.7,33.14
9.2,2,car,11.3,34.37
9.3,2,car,10.9,35.60
9.4,2,car,10.5,36.83
9.5,2,car,10.2,38.06
9.6,2,car,9.9,39.29
9.7,2,car,9.6,40.52
9.8,2,car,9.3,41.76
9.9,2,car,9.0,42.99
0.4,3,car,1.6,105.60
0.5,3,car,1.6,104.21
0.6,3,car,1.6,102.82
0.7,3,car,1.6,101.43
0.8,3,car,1.6,100.04
0.9,3,car,1.7,98.66
1.0,3,car,1.7,97.27
1.1,3,car,1.7,95.88
1.2,3,car,1.7,94.49
1.3,3,car,1.8,93.10
1.4,3,car,1.8,91.72
1.5,3,car,1.8,90.33
1.6,3,car,1.9,88.94
1.7,3,car,1.9,87.55
1.8,3,car,1.9,86.16
1.9,3,car,1.9,84.78
2.0,3,car,2.0,83.39
2.1,3,car,2.0,82.00
2.2,3,car,2.0,80.61
2.3,3,car,2.1,79.22
2.4,3,car,2.1,77.84
2.5,3,car,2.2,76.45
2.6,3,car,2.2,75.06
2.7,3,car,2.2,73.67
2.8,3,car,2.3,72.28
2.9,3,car,2.3,70.90
3.0,3,car,2.4,69.51
3.1,3,car,2.4,68.12
3.2,3,car,2.5,66.73
3.3,3,car,2.5,65.35
3.4,3,car,2.6,63.96
3.5,3,car,2.6,62.57
3.6,3,car,2.7,61.18
3.7,3,car,2.8,59.80
3.8,3,car,2.8,58.41
3.9,3,car,2.9,57.02
4.0,3,car,3.0,55.64
4.1,3,car,3.0,54.25
4.2,3,car,3.1,52.86
4.3,3,car,3.2,51.48
4.4,3,car,3.3,50.09
4.5,3,car,3.4,48.70
4.6,3,car,3.5,47.32
4.7,3,car,3.6,45.93
4.8,3,car,3.7,44.55
4.9,3,car,3.8,43.16
5.0,3,car,4.0,41.77
5.1,3,car,4.1,40.39
5.2,3,car,4.2,39.00
5.3,3,car,4.4,37.62
5.4,3,car,4.6,36.24
5.5,3,car,4.7,34.85
5.6,3,car,4.9,33.47
5.7,3,car,5.1,32.09
5.8,3,car,5.4,30.70
5.9,3,car,5.6,29.32
6.0,3,car,5.9,27.94
6.1,3,car,6.2,26.56
6.2,3,car,6.6,25.18
6.3,3,car,6.9,23.80
6.4,3,car,7.4,22.42
6.5,3,car,7.9,21.05
6.6,3,car,8.4,19.67
6.7,3,car,9.1,18.30
6.8,3,car,9.8,16.93
6.9,3,car,10.7,15.57
7.0,3,car,11.7,14.21
7.1,3,car,13.0,12.85
7.2,3,car,14.5,11.51
7.3,3,car,16.5,10.17
7.4,3,car,19.0,8.86
7.5,3,car,22.4,7.56
7.6,3,car,27.3,6.31
7.7,3,car,34.4,5.13
7.8,3,car,45.5,4.09
7.9,3,car,63.1,3.31
8.0,3,car,87.7,3.00
8.1,3,car,112.7,3.31
8.2,3,car,131.1,4.09
8.3,3,car,142.9,5.13
8.4,3,car,150.5,6.31
8.5,3,car,155.7,7.56
8.6,3,car,159.4,8.86
8.7,3,car,162.2,10.17
8.8,3,car,164.3,11.51
8.9,3,car,166.0,12.85
9.0,3,car,167.3,14.21
9.1,3,car,168.4,15.57
9.2,3,car,169.4,16.93
9.3,3,car,170.2,18.30
9.4,3,car,170.9,19.67
9.5,3,car,171.5,21.05
9.6,3,car,172.0,22.42
9.7,3,car,172.5,23.80
9.8,3,car,172.9,25.18
9.9,3,car,173.3,26.56
