t_s,obj,class,az_deg,dist_m,vis
7.8,1,car,-154.2,9.96,1
7.9,1,car,-150.6,8.85,1
8.0,1,car,-146.0,7.78,1
8.1,1,car,-140.0,6.78,1
8.2,1,car,-132.0,5.90,1
8.3,1,car,-121.5,5.17,1
8.4,1,car,-108.0,4.68,1
8.5,1,car,-92.3,4.50,1
8.6,1,car,-76.5,4.68,1
8.7,1,car,-62.6,5.17,1
8.8,1,car,-51.5,5.90,1
8.9,1,car,-43.1,6.78,1
9.0,1,car,-36.7,7.78,1
9.1,1,car,-31.8,8.85,1
9.2,1,car,-27.9,9.96,1
9.3,1,car,-24.8,11.11,1
9.4,1,car,-22.3,12.28,1
9.5,1,car,-20.3,13.47,1
9.6,1,car,-18.6,14.67,1
9.7,1,car,-17.1,15.88,1
9.8,1,car,-15.9,17.11,1
9.9,1,car,-14.8,18.33,1
