t_s,obj,class,az_deg,dist_m,vis
3.8,5_0,crossing,25.9,15.19,1
3.9,5_0,crossing,26.1,15.09,1
4.0,5_0,crossing,26.3,15.00,1
4.1,5_0,crossing,26.4,14.91,1
4.2,5_0,crossing,26.6,14.82,1
4.3,5_0,crossing,26.8,14.73,1
4.4,5_0,crossing,27.0,14.64,1
4.5,5_0,crossing,27.2,14.55,1
4.6,5_0,crossing,27.3,14.46,1
4.7,5_0,crossing,27.5,14.37,1
4.8,5_0,crossing,27.7,14.28,1
4.9,5_0,crossing,27.9,14.19,1
5.0,5_0,crossing,28.1,14.10,1
5.1,5_0,crossing,28.3,14.01,1
5.2,5_0,crossing,28.5,13.92,1
5.3,5_0,crossing,28.7,13.83,1
5.4,5_0,crossing,28.9,13.75,1
5.5,5_0,crossing,29.1,13.66,1
5.6,5_0,crossing,29.3,13.57,1
5.7,5_0,crossing,29.5,13.48,1
5.8,5_0,crossing,29.7,13.39,1
5.9,5_0,crossing,30.0,13.30,1
6.0,5_0,crossing,30.2,13.22,1
6.1,5_0,crossing,30.4,13.13,1
6.2,5_0,crossing,30.6,13.04,1
6.3,5_0,crossing,30.9,12.96,1
6.4,5_0,crossing,31.1,12.87,1
6.5,5_0,crossing,31.3,12.78,1
6.6,5_0,crossing,31.6,12.70,1
6.7,5_0,crossing,31.8,12.61,1
6.8,5_0,crossing,32.1,12.52,1
6.9,5_0,crossing,32.3,12.44,1
7.0,5_0,crossing,32.6,12.35,1
7.1,5_0,crossing,32.8,12.27,1
7.2,5_0,crossing,33.1,12.18,1
7.3,5_0,crossing,33.3,12.10,1
7.4,5_0,crossing,33.6,12.01,1
7.5,5_0,crossing,33.9,11.93,1
7.6,5_0,crossing,34.2,11.84,1
7.7,5_0,crossing,34.4,11.76,1
7.8,5_0,crossing,34.7,11.68,1
7.9,5_0,crossing,35.0,11.59,1
8.0,5_0,crossing,35.3,11.51,1
8.1,5_0,crossing,35.6,11.43,1
8.2,5_0,crossing,35.9,11.35,1
8.3,5_0,crossing,36.2,11.27,1
8.4,5_0,crossing,36.5,11.18,1
8.5,5_0,crossing,36.8,11.10,1
8.6,5_0,crossing,37.1,11.02,1
8.7,5_0,crossing,37.5,10.94,1
8.8,5_0,crossing,37.8,10.86,1
8.9,5_0,crossing,38.1,10.78,1
9.0,5_0,crossing,38.5,10.70,1
9.1,5_0,crossing,38.8,10.62,1
9.2,5_0,crossing,39.1,10.54,1
9.3,5_0,crossing,39.5,10.47,1
9.4,5_0,crossing,39.9,10.39,1
9.5,5_0,crossing,40.2,10.31,1
9.6,5_0,crossing,40.6,10.23,1
9.7,5_0,crossing,41.0,10.16,1
9.8,5_0,crossing,41.3,10.08,1
9.9,5_0,crossing,41.7,10.01,1
