type,a,b,c,d
scene,arterial,walk,1.0,
map,1,,,,,,
poi,85.0,71.6,crossing,,,,
poi,89.7,73.6,signal,,,,
poi,88.6,80.0,crossing,,,,
poi,91.7,66.9,crossing,,,,
poi,-19.5,-11.0,gate,,,,
poi,-8.6,5.9,crossing,,,,
poi,-65.0,-2.2,gate,,,,
poi,6.3,13.8,crossing,,,,
poi,14.7,1.6,gate,,,,
water,1792.8,522.0,1919.9,605.5,12.0,利根運河,
water,1919.9,605.5,1983.6,647.3,12.0,利根運河,
water,1983.6,647.3,2093.1,727.9,12.0,利根運河,
water,2093.1,727.9,2276.6,846.9,12.0,利根運河,
water,2276.6,846.9,2314.3,878.2,12.0,利根運河,
water,2314.3,878.2,2350.4,914.1,12.0,利根運河,
water,2350.4,914.1,2432.2,1002.4,12.0,利根運河,
water,2432.2,1002.4,2449.7,1022.5,12.0,利根運河,
water,2449.7,1022.5,2483.5,1061.3,12.0,利根運河,
road,85.0,71.6,89.7,73.6,5.5,unclassified,
road,26.6,36.7,37.8,47.7,5.5,unclassified,
road,37.8,47.7,42.1,51.2,5.5,unclassified,
road,42.1,51.2,46.8,54.8,5.5,unclassified,
road,46.8,54.8,52.0,57.8,5.5,unclassified,
road,52.0,57.8,59.3,61.2,5.5,unclassified,
road,0.5,6.0,-8.6,5.9,5.5,unclassified,
road,-8.6,5.9,-14.4,5.7,5.5,unclassified,
road,-14.4,5.7,-65.0,3.5,5.5,unclassified,
road,-65.0,3.5,-113.8,1.6,5.5,unclassified,
road,-113.8,1.6,-162.7,-0.3,5.5,unclassified,
road,-162.7,-0.3,-192.7,-1.5,5.5,unclassified,
road,-192.7,-1.5,-207.4,-2.0,5.5,unclassified,
road,-207.4,-2.0,-268.4,-4.3,5.5,unclassified,
road,-268.4,-4.3,-303.0,-5.7,5.5,unclassified,
road,-303.0,-5.7,-340.9,-6.4,5.5,unclassified,
road,-113.8,1.6,-113.6,-3.5,3.5,service,
road,-113.6,-3.5,-113.5,-8.5,3.5,service,
road,-113.5,-8.5,-112.0,-46.5,3.5,service,
road,-112.0,-46.5,-111.7,-54.4,3.5,service,
road,-111.7,-54.4,-111.4,-64.0,3.5,service,
road,-111.4,-64.0,-111.3,-67.1,3.5,service,
road,-111.3,-67.1,-109.2,-129.3,3.5,service,
bldg,40.5,25.2,37.2,25.3,60.9,3.2,第三食堂
bldg,-88.6,38.1,49.2,24.2,-178.6,12.8,1号館
bldg,-80.3,-68.1,101.7,24.7,91.8,12.8,2号館
bldg,-155.9,-30.9,84.2,24.5,-178.7,12.8,4号館
bldg,-158.7,29.6,70.4,41.0,169.3,9.6,カナル会館
road,108.8,31.3,112.5,33.6,5.0,residential,
road,112.5,33.6,120.0,38.4,5.0,residential,
road,120.0,38.4,141.4,49.4,5.0,residential,
road,141.4,49.4,150.6,53.7,5.0,residential,
road,150.6,53.7,224.4,74.8,5.0,residential,
road,224.4,74.8,271.1,87.6,5.0,residential,
rail,1245.9,-1423.5,1229.3,-1402.9,,東武野田線,
rail,1229.3,-1402.9,1047.6,-1178.7,,東武野田線,
rail,1047.6,-1178.7,1013.5,-1136.1,,東武野田線,
rail,1013.5,-1136.1,972.2,-1085.0,,東武野田線,
rail,972.2,-1085.0,946.3,-1053.5,,東武野田線,
rail,946.3,-1053.5,776.0,-842.2,,東武野田線,
rail,776.0,-842.2,638.4,-671.0,,東武野田線,
rail,638.4,-671.0,539.3,-548.8,,東武野田線,
rail,539.3,-548.8,416.4,-397.8,,東武野田線,
rail,416.4,-397.8,302.8,-255.9,,東武野田線,
rail,302.8,-255.9,200.1,-129.1,,東武野田線,
rail,200.1,-129.1,130.2,-42.8,,東武野田線,
