t_s,class,az_deg,dist_m
7.0,car,173,26.56
7.0,car,54,8.20
7.0,car,11,15.57
7.1,car,177,62.57
7.1,car,174,27.94
7.1,car,48,9.02
7.1,car,12,14.21
7.2,car,177,63.96
7.2,car,174,29.32
7.2,car,42,9.92
7.2,car,13,12.85
7.3,car,177,65.35
7.3,car,174,30.70
7.3,car,38,10.90
7.3,car,15,11.51
7.4,car,177,66.73
7.4,car,174,32.09
7.4,car,34,11.93
7.4,car,16,10.17
7.5,car,177,68.12
7.5,car,175,33.47
7.5,car,31,12.99
7.5,car,19,8.86
7.6,car,177,69.51
7.6,car,175,34.85
7.6,car,28,14.09
7.6,car,22,7.56
7.7,car,177,70.90
7.7,car,175,36.24
7.7,car,26,15.21
7.7,car,27,6.31
7.8,car,178,72.28
7.8,car,175,37.62
7.8,car,24,16.35
7.8,car,34,5.13
7.9,car,178,73.67
7.9,car,175,39.00
7.9,car,23,17.50
7.9,car,46,4.09
8.0,car,178,75.06
8.0,car,176,40.39
8.0,car,21,18.67
8.0,car,63,3.31
8.1,car,178,76.45
8.1,car,176,41.77
8.1,car,20,19.84
8.1,car,88,3.00
8.2,car,178,77.84
8.2,car,176,43.16
8.2,car,19,21.03
8.2,car,113,3.31
8.3,car,178,79.22
8.3,car,176,44.55
8.3,car,18,22.22
8.3,car,131,4.09
8.4,car,178,80.61
8.4,car,176,45.93
8.4,car,17,23.42
8.4,car,143,5.13
8.5,car,178,82.00
8.5,car,176,47.32
8.5,car,16,24.62
8.5,car,151,6.31
8.6,car,178,83.39
8.6,car,176,48.70
8.6,car,15,25.83
8.6,car,156,7.56
8.7,car,178,84.78
8.7,car,176,50.09
8.7,car,14,27.04
8.7,car,159,8.86
8.8,car,178,86.16
8.8,car,177,51.48
8.8,car,14,28.26
8.8,car,162,10.17
8.9,car,178,87.55
8.9,car,177,52.86
8.9,car,13,29.48
8.9,car,164,11.51
9.0,car,178,88.94
9.0,car,177,54.25
9.0,car,13,30.70
9.0,car,166,12.85
9.1,car,178,90.33
9.1,car,177,55.64
9.1,car,12,31.92
9.1,car,167,14.21
9.2,car,178,91.72
9.2,car,177,57.02
9.2,car,12,33.14
9.2,car,168,15.57
9.3,car,178,93.10
9.3,car,177,58.41
9.3,car,11,34.37
9.3,car,169,16.93
9.4,car,178,94.49
9.4,car,177,59.80
9.4,car,11,35.60
9.4,car,170,18.30
9.5,car,178,95.88
9.5,car,177,61.18
9.5,car,11,36.83
9.5,car,171,19.67
9.6,car,178,97.27
9.6,car,177,62.57
9.6,car,10,38.06
9.6,car,171,21.05
9.7,car,178,98.66
9.7,car,177,63.96
9.7,car,10,39.29
9.7,car,172,22.42
9.8,car,178,100.04
9.8,car,177,65.35
9.8,car,10,40.52
9.8,car,172,23.80
9.9,car,178,101.43
9.9,car,177,66.73
9.9,car,9,41.76
9.9,car,173,25.18
10.0,car,178,102.82
10.0,car,177,68.12
10.0,car,9,42.99
10.0,car,173,26.56
# オラクル（検出=GT系列）。モデル出力ではない
