half,idx,label,strong,crit,caut,safe,lead,lead25,n_fire
0,63,brg9+mn4/6+rc(0.10,8)+link,89.63,97.32,94.64,64.59,1.50,30.97,1775
0,64,brg9+mn4/6+rc(0.10,15),91.97,97.66,95.66,60.62,1.70,32.83,1804
0,65,brg9+mn4/6+rc(0.10,15)+link,91.97,97.66,95.41,60.62,1.70,32.88,1809
0,66,brg9+mn4/6+rc(0.20,8),90.30,97.32,94.90,63.46,1.50,31.07,1767
0,67,brg9+mn4/6+rc(0.20,8)+link,89.97,97.32,94.64,63.46,1.50,31.12,1771
0,68,brg9+mn4/6+rc(0.20,15),93.65,97.99,95.41,55.24,1.70,34.33,1751
0,69,brg9+mn4/6+rc(0.20,15)+link,93.98,97.99,95.15,55.24,1.70,34.38,1755
0,70,brg9+mn3/5,93.65,97.99,96.17,58.36,1.90,38.51,1950
0,71,brg9+mn3/5+link,93.65,97.99,96.17,58.36,1.90,38.51,1957
0,72,brg9+mn3/5+rc(0.05,8),93.98,97.99,95.92,58.36,1.90,38.42,1954
0,73,brg9+mn3/5+rc(0.05,8)+link,93.98,97.99,95.92,58.36,1.90,38.42,1961
0,74,brg9+mn3/5+rc(0.05,15),94.65,98.33,95.92,57.51,1.90,38.96,1973
0,75,brg9+mn3/5+rc(0.05,15)+link,94.65,98.33,95.92,57.51,1.90,38.96,1980
0,76,brg9+mn3/5+rc(0.10,8),93.98,97.99,95.66,58.36,1.85,38.47,1953
0,77,brg9+mn3/5+rc(0.10,8)+link,93.98,97.99,95.66,58.36,1.80,38.47,1960
0,78,brg9+mn3/5+rc(0.10,15),95.32,98.33,95.92,54.67,2.00,39.25,1994
0,79,brg9+mn3/5+rc(0.10,15)+link,95.65,98.33,95.92,54.67,2.00,39.25,2001
0,80,brg9+mn3/5+rc(0.20,8),94.31,97.99,95.66,57.51,1.85,38.77,1946
0,81,brg9+mn3/5+rc(0.20,8)+link,93.98,97.99,95.66,57.51,1.80,38.77,1952
0,82,brg9+mn3/5+rc(0.20,15),96.99,98.33,95.92,48.73,2.00,40.30,1922
0,83,brg9+mn3/5+rc(0.20,15)+link,96.99,98.33,95.92,48.73,2.00,40.30,1928
0,84,brg13+mn4/4,90.97,97.99,95.15,62.32,1.40,30.93,1632
0,85,brg13+mn4/4+link,90.97,97.99,95.15,62.32,1.40,30.93,1638
0,86,brg13+mn4/4+rc(0.05,8),90.97,97.99,94.90,62.32,1.40,31.13,1634
0,87,brg13+mn4/4+rc(0.05,8)+link,90.97,97.99,94.90,62.32,1.40,31.13,1640
0,88,brg13+mn4/4+rc(0.05,15),91.64,97.99,95.15,61.47,1.45,31.38,1632
0,89,brg13+mn4/4+rc(0.05,15)+link,91.64,97.99,95.15,61.47,1.45,31.38,1638
0,90,brg13+mn4/4+rc(0.10,8),90.97,97.99,94.90,62.61,1.40,31.13,1628
0,91,brg13+mn4/4+rc(0.10,8)+link,90.97,97.99,94.90,62.61,1.40,31.13,1634
0,92,brg13+mn4/4+rc(0.10,15),92.31,97.99,94.64,59.21,1.60,32.38,1626
0,93,brg13+mn4/4+rc(0.10,15)+link,92.64,97.99,94.64,59.21,1.60,32.38,1632
0,94,brg13+mn4/4+rc(0.20,8),90.97,97.99,94.64,61.76,1.40,31.17,1618
0,95,brg13+mn4/4+rc(0.20,8)+link,90.97,97.99,94.64,61.76,1.40,31.17,1624
0,96,brg13+mn4/4+rc(0.20,15),94.65,98.33,95.15,52.69,1.70,33.43,1615
0,97,brg13+mn4/4+rc(0.20,15)+link,94.65,98.33,95.15,52.69,1.70,33.43,1621
0,98,brg13+mn4/6,91.30,97.99,95.41,61.19,1.60,33.58,1732
0,99,brg13+mn4/6+link,91.30,97.99,95.41,61.19,1.60,33.58,1738
0,100,brg13+mn4/6+rc(0.05,8),91.64,97.99,95.15,61.19,1.60,33.63,1736
0,101,brg13+mn4/6+rc(0.05,8)+link,91.64,97.99,95.15,61.19,1.60,33.63,1742
0,102,brg13+mn4/6+rc(0.05,15),91.97,97.99,95.41,60.34,1.70,34.03,1735
0,103,brg13+mn4/6+rc(0.05,15)+link,92.31,97.99,95.41,60.34,1.70,34.03,1741
0,104,brg13+mn4/6+rc(0.10,8),91.64,97.99,95.15,61.47,1.60,33.48,1726
0,105,brg13+mn4/6+rc(0.10,8)+link,91.64,97.99,95.15,61.47,1.60,33.48,1732
0,106,brg13+mn4/6+rc(0.10,15),92.98,97.99,95.15,58.36,1.80,34.68,1720
0,107,brg13+mn4/6+rc(0.10,15)+link,93.31,97.99,95.15,58.36,1.80,34.68,1726
0,108,brg13+mn4/6+rc(0.20,8),91.64,97.99,94.64,60.34,1.60,33.43,1717
0,109,brg13+mn4/6+rc(0.20,8)+link,91.64,97.99,94.64,60.34,1.60,33.43,1723
0,110,brg13+mn4/6+rc(0.20,15),94.98,98.33,95.15,50.71,1.80,35.08,1697
0,111,brg13+mn4/6+rc(0.20,15)+link,94.98,98.33,95.15,50.71,1.80,35.08,1703
0,112,brg13+mn3/5,95.32,98.33,96.17,57.51,1.90,38.30,1896
0,113,brg13+mn3/5+link,95.65,98.33,96.17,57.51,1.90,38.30,1901
0,114,brg13+mn3/5+rc(0.05,8),95.65,98.33,95.92,57.51,1.90,38.36,1897
0,115,brg13+mn3/5+rc(0.05,8)+link,95.99,98.33,95.92,57.51,1.90,38.36,1902
0,116,brg13+mn3/5+rc(0.05,15),95.65,97.99,95.92,57.22,2.00,38.71,1890
0,117,brg13+mn3/5+rc(0.05,15)+link,95.99,97.99,95.92,57.22,2.00,38.71,1895
0,118,brg13+mn3/5+rc(0.10,8),95.32,98.33,95.92,57.79,1.90,38.36,1887
0,119,brg13+mn3/5+rc(0.10,8)+link,95.65,98.33,95.92,57.79,1.90,38.36,1892
0,120,brg13+mn3/5+rc(0.10,15),96.32,98.33,95.92,54.39,2.00,39.10,1869
0,121,brg13+mn3/5+rc(0.10,15)+link,96.66,98.33,95.92,54.39,2.00,39.10,1873
0,122,brg13+mn3/5+rc(0.20,8),95.65,98.33,95.66,56.66,1.90,38.57,1870
0,123,brg13+mn3/5+rc(0.20,8)+link,95.99,98.33,95.66,56.66,1.90,38.57,1875
